,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.012318840579710144,0.008924317195609632,0.006388888888888889,0.010509058326471712,0.017451690509915352,0.036231884057971016,0
10,0.023913043478260867,0.02045280227709861,0.007884748102139407,0.015022970415395687,0.021264664828777313,0.06159420289855073,0
20,0.032910628019323665,0.030597163949381036,0.008161381164813658,0.018120000066181238,0.024318605661392212,0.10507246376811594,0
100,0.09943111023062327,0.09935408181569688,0.009744254427092713,0.03333345168075098,0.027681497856974602,0.2463768115942029,0
5,0.007971014492753625,0.007548309178743962,0.005253623188405797,0.007232359235064949,0.011775362305343151,0.014492753623188406,1
10,0.01956521739130435,0.017442343069951093,0.006868961352657005,0.01229406187750284,0.01697291061282158,0.04710144927536232,1
20,0.02479296066252588,0.023534152049093496,0.007064088984182537,0.014296242096184788,0.018367931246757507,0.06884057971014493,1
100,0.09145721140499348,0.0913031545751407,0.008767488804783407,0.03044937391186529,0.02223966084420681,0.2246376811594203,1
5,0.009420289855072466,0.008085347003601917,0.0026811594202898552,0.005146850446116606,0.006159420590847731,0.018115942028985508,2
10,0.016304347826086956,0.013584085562920348,0.0035196687370600416,0.008631736114413813,0.010481365956366062,0.05434782608695652,2
20,0.020634920634920634,0.01925708907288222,0.0036432789490065034,0.010390340835679128,0.011919518001377583,0.07608695652173914,2
100,0.11553887204811748,0.1154618436331911,0.005771407426901681,0.03118244923099014,0.01639489270746708,0.27898550724637683,2
5,0.011231884057971014,0.009896941206500469,0.004492753623188406,0.007368398245991454,0.009782608598470688,0.021739130434782608,3
10,0.02065217391304348,0.018434816692316457,0.006002127904301819,0.011908489422576675,0.0141706932336092,0.050724637681159424,3
20,0.02893374741200828,0.02780685840135893,0.006337892831897184,0.014705881086666362,0.01650254987180233,0.08695652173913043,3
100,0.09534309920870261,0.09526607079377623,0.007852823286507635,0.030616053827898008,0.020210277289152145,0.2536231884057971,3
5,0.01570048309178744,0.011290143414920068,0.009528985507246377,0.015721871613884036,0.03194444254040718,0.050724637681159424,4
10,0.024396135265700485,0.020842515196465617,0.009370111571198526,0.018731996901969417,0.037584830075502396,0.09420289855072464,4
20,0.03088624338624339,0.029252879986506077,0.009351357664252137,0.020851888573958536,0.03991525247693062,0.13043478260869565,4
100,0.08804881542632328,0.0877407017666177,0.010912901287428535,0.0364437419394348,0.043185725808143616,0.26811594202898553,4
5,0.005917874396135265,0.004770531400966184,0.003985507246376811,0.006527303547148852,0.013285025022923946,0.021739130434782608,5
10,0.009541062801932367,0.009078099838969404,0.004015988037727168,0.007582831411243024,0.01497009489685297,0.036231884057971016,5
20,0.01391764435242696,0.013621277558865217,0.004304861443430639,0.01001475185454848,0.01779351197183132,0.07608695652173914,5
100,0.08004043693198408,0.07996340851705769,0.006059383391581794,0.026463669554939784,0.0213646087795496,0.23550724637681159,5
5,0.008454106280193236,0.005719520784291481,0.0028623188405797104,0.0058880300046893885,0.009480676613748074,0.025362318840579712,6
10,0.01570048309178744,0.012789113813468575,0.0035589199447895103,0.009262631020177181,0.014195135794579983,0.06159420289855073,6
20,0.027438463308028526,0.026201767152078503,0.004099343963932439,0.012907917936195456,0.016599468886852264,0.09782608695652174,6
100,0.08635923628251105,0.08635923628251105,0.005642726695825366,0.02774316247818566,0.020112428814172745,0.2536231884057971,6
5,0.014734299516908212,0.014074361628709455,0.0071497584541062795,0.010960154586435879,0.015217390842735767,0.028985507246376812,7
10,0.0285024154589372,0.02602236043483398,0.009418133195307108,0.016977702191360307,0.02038043551146984,0.06521739130434782,7
20,0.04051069703243616,0.03931997422043618,0.010036354740217978,0.02126781417345792,0.023167934268712997,0.11231884057971014,7
100,0.10431606620921195,0.10431606620921195,0.011809753981528998,0.03761398371044685,0.02656049095094204,0.27898550724637683,7
5,0.005797101449275362,0.0019712461121037654,0.004589371980676328,0.008309252385775158,0.022946860641241074,0.028985507246376812,8
10,0.003985507246376812,0.002877043213553041,0.002440619967793881,0.006167801872305766,0.024406200274825096,0.03985507246376811,8
20,0.009739475500345065,0.008982615497149878,0.0023984493008615813,0.008195794684920802,0.026615846902132034,0.07246376811594203,8
100,0.07526844530880063,0.07526844530880063,0.004428900614355749,0.02558210029644036,0.030072947964072227,0.22826086956521738,8
5,0.006400966183574879,0.0047187715665976526,0.0035507246376811595,0.005932250986806813,0.009903381578624249,0.021739130434782608,9
10,0.01618357487922706,0.01406032039704565,0.004937888198757764,0.010364013298412153,0.014527260325849056,0.057971014492753624,9
20,0.021083505866114564,0.020053868351442284,0.0051225232829419124,0.012456136019241436,0.01664470136165619,0.09057971014492754,9
100,0.08305397079419814,0.08305397079419814,0.0064529179458305,0.02705926397086667,0.019934438169002533,0.2391304347826087,9
