,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.01588785046728972,0.007732229048786304,0.006528210453444099,0.013012007283303956,0.022516442462801933,0.056074766355140186,0
10,0.018046696006197564,0.0137329390884655,0.005395218315779064,0.01313670871855588,0.02487926371395588,0.07372793354101766,0
20,0.029064460965182396,0.026171223143128024,0.0054669661021574225,0.016263349043884066,0.027224214747548103,0.1111111111111111,0
100,0.06584409693930514,0.0657063173498248,0.006082220666137497,0.02659523399664266,0.02971268817782402,0.21079958463136034,0
5,0.022429906542056077,0.014111064452974045,0.011066112841813776,0.017627995330454706,0.024800971150398254,0.05711318795430945,1
10,0.028948062437159014,0.023622589324330184,0.010250292571164846,0.019275322932386714,0.027851127088069916,0.08099688473520249,1
20,0.03730737061152848,0.03380724226264441,0.009934224262125573,0.021668283668614327,0.03002319298684597,0.11318795430944964,1
100,0.0771006932871115,0.07691693021025953,0.010118963670411702,0.031847235842096096,0.032753072679042816,0.22741433021806853,1
5,0.013862928348909656,0.01087078692890221,0.0070699203876773975,0.011353424052531065,0.017635859549045563,0.037383177570093455,2
10,0.02238952347986616,0.019935023133288342,0.007382635008543628,0.01460545358274419,0.022300515323877335,0.07268951194184839,2
20,0.029512322556264188,0.02748645061872883,0.00759957226509656,0.017178918378304712,0.024539003148674965,0.10695742471443406,2
100,0.06946534173215847,0.06917626868875726,0.008742388063565908,0.028724403016611593,0.027056744322180748,0.21910695742471442,2
5,0.012149532710280374,0.0072297848924282775,0.005185185185185186,0.009772765324178326,0.016476290300488472,0.04153686396677051,3
10,0.017704676193772768,0.014901121964192673,0.005036688149356893,0.011488595931433815,0.019314229488372803,0.06438213914849429,3
20,0.021707097032970128,0.01973548323186943,0.004923855517608431,0.012680165282050248,0.020590828731656075,0.08411214953271028,3
100,0.054251923731105184,0.05417811859756927,0.005662522447625225,0.022322833104910515,0.023204078897833824,0.1952232606438214,3
5,0.015420560747663549,0.010533653719839725,0.007123572170301144,0.012011764744836692,0.017930079251527786,0.0446521287642783,4
10,0.025345728460993255,0.02209418897377166,0.007437708439785282,0.015403078960339428,0.02218719571828842,0.0778816199376947,4
20,0.03033021105860916,0.027790465744391625,0.007432314016788381,0.017394705034339958,0.0241324994713068,0.10695742471443406,4
100,0.06963308120273845,0.06914965435979159,0.008167746770919717,0.028335001735950865,0.026793956756591797,0.22429906542056074,4
5,0.015368639667705089,0.00924526214556034,0.006753201799930772,0.012625998695558742,0.02310488000512123,0.05088265835929388,5
10,0.02343330201585653,0.019890626311072985,0.006535277489327334,0.014708304212974808,0.026295965537428856,0.07580477673935618,5
20,0.03526401945356837,0.03307319576849405,0.006734608373904621,0.017840384283566848,0.028695251792669296,0.11214953271028037,5
100,0.07087223565260542,0.07068031787386991,0.00747348213532015,0.027709657924119595,0.031193509697914124,0.2232606438213915,5
5,0.015109034267912774,0.008350281651696672,0.008021806853582555,0.013137578714644963,0.020958811044692993,0.04672897196261682,6
10,0.02147225106726664,0.017304756783121246,0.007579152175465778,0.014917909052329995,0.024062536656856537,0.07061266874350987,6
20,0.02857397001109085,0.025632152943127307,0.007303176326595199,0.017172323522155055,0.02635973133146763,0.1059190031152648,6
100,0.06908857889909918,0.06875271206176528,0.007937973190767571,0.0278736753508142,0.028532132506370544,0.20249221183800623,6
5,0.014485981308411217,0.010214552817613031,0.0066355140186915886,0.011638063292710214,0.02017999440431595,0.040498442367601244,7
10,0.020355535776096525,0.01751058433365935,0.006429622212332493,0.01336278934805543,0.022561360150575638,0.059190031152647975,7
20,0.03149113379382565,0.029153569617272144,0.0067682866712005475,0.017192502812272577,0.025980161502957344,0.11007268951194185,7
100,0.06269157763788664,0.06252687166017458,0.00737623321430886,0.026060214554414887,0.028114289045333862,0.2035306334371755,7
5,0.018639667705088264,0.010513189064659844,0.008845621322256837,0.015428454753627387,0.02582208439707756,0.0529595015576324,8
10,0.02216164762893735,0.016861851608364408,0.007460585307158517,0.015944302536438644,0.02823270484805107,0.07165109034267912,8
20,0.02595013998836226,0.022266923559744203,0.006647624221627835,0.016679648882216087,0.029816830530762672,0.09657320872274143,8
100,0.06694085164481826,0.0667380033407924,0.0069001725380560975,0.027015066173630215,0.0326879620552063,0.21806853582554517,8
5,0.01687435098650052,0.009930887739850453,0.006844929041190725,0.012816037845308041,0.0205780528485775,0.04880581516095535,9
10,0.021330910349601943,0.017621777628171572,0.0058595136450795855,0.013502237865910411,0.02313166670501232,0.0695742471443406,9
20,0.027882627444030954,0.02518385409441041,0.005670636825539269,0.015522166024720471,0.025304649025201797,0.102803738317757,9
100,0.06469360529695196,0.0644870087256314,0.006216564709693654,0.025672133460302917,0.02802412398159504,0.2222222222222222,9
