,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.16343167701863354,0.1161768339034188,0.09552536231884058,0.15691191863156775,0.27334368228912354,0.4813664596273292,0
10,0.23465629005225275,0.22216047193785196,0.09444448038877386,0.18661758306337772,0.3007154166698456,0.6847826086956522,0
20,0.331545956803454,0.3293609906225023,0.1068346093778504,0.22708207849990344,0.3076436221599579,0.782608695652174,0
100,0.7557716712498824,0.7557716712498824,0.14135275289089733,0.36045523211467423,0.3132028877735138,0.9627329192546584,0
5,0.17098861283643893,0.11968862447765106,0.10263716356107659,0.1631294772638309,0.2708592414855957,0.47360248447204967,1
10,0.24760918860297743,0.23372780168584015,0.10071498455029584,0.19300201207705822,0.29775890707969666,0.6692546583850931,1
20,0.3486139399898582,0.3462428279525971,0.1120596835007939,0.23462540243939367,0.30700260400772095,0.7981366459627329,1
100,0.7603486186569134,0.7603486186569134,0.14528018668740855,0.361880389870798,0.31153377890586853,0.9627329192546584,1
5,0.17347308488612836,0.12777040797124975,0.10287698412698414,0.16692860382135222,0.2919772267341614,0.4984472049689441,2
10,0.23777482007295672,0.22551201847744837,0.10169777978479176,0.19309800271847471,0.3139351010322571,0.6645962732919255,2
20,0.3450169207585847,0.3430800722378852,0.11514683785665289,0.23729022843540468,0.3227299749851227,0.7919254658385093,2
100,0.7617206903493271,0.7617206903493271,0.14927823939124987,0.36625818009296435,0.3274901807308197,0.9472049689440993,2
5,0.16845238095238096,0.12909863242418515,0.09523464458247066,0.15949497170217009,0.28706005215644836,0.484472049689441,3
10,0.22631802721088434,0.21732208130981945,0.09521821460065506,0.18391989017089974,0.30893656611442566,0.6444099378881988,3
20,0.33526089253451136,0.333880799246942,0.10932956157816218,0.22979815853239477,0.318718820810318,0.7888198757763976,3
100,0.7732287013153798,0.7732287013153798,0.14335092383522022,0.36391610942551766,0.32410529255867004,0.968944099378882,3
5,0.16074016563146998,0.11833712325417073,0.09585274327122154,0.15533246417168547,0.2673136591911316,0.4549689440993789,4
10,0.22317484965000492,0.21128591246387277,0.095581992243067,0.18205504015698878,0.2926088273525238,0.6428571428571429,4
20,0.3328160343658248,0.3312645099673832,0.10765609223107962,0.22593748201296923,0.3024722635746002,0.781055900621118,4
100,0.7623481719696897,0.7623481719696897,0.14160988218540502,0.3582734533606013,0.3082822859287262,0.9704968944099379,4
5,0.16006728778467907,0.11664800590295273,0.09659118357487921,0.15581531978064506,0.2676500976085663,0.4580745341614907,5
10,0.2258170659568175,0.21514022344947967,0.09527210908805665,0.1827651985039422,0.2941616475582123,0.656832298136646,5
20,0.3278400136238266,0.3269375215334463,0.10721520643262578,0.22399815338642054,0.3023660182952881,0.7748447204968945,5
100,0.7591650103110379,0.7591650103110379,0.1417000677696343,0.35786790684524017,0.30801230669021606,0.9736024844720497,5
5,0.16511387163561078,0.11473264086136181,0.09714458247066944,0.1607313196893414,0.2806159555912018,0.4704968944099379,6
10,0.21920906043576854,0.20680809146071968,0.09227771757713898,0.18152274673591728,0.3017629384994507,0.6335403726708074,6
20,0.3377278019778212,0.33664463594900296,0.10647820910496637,0.2296447901055748,0.31240132451057434,0.7857142857142857,6
100,0.7687488249986446,0.7687488249986446,0.14296269413963836,0.36434109590768116,0.31787529587745667,0.9596273291925466,6
5,0.16728778467908903,0.11925605220525647,0.1036637336093858,0.16419933470774856,0.28408387303352356,0.468944099378882,7
10,0.22823437345952877,0.21653465752774873,0.0984808982541717,0.1860140659417579,0.3064582645893097,0.6335403726708074,7
20,0.3498236593008169,0.34826263066150465,0.11132931548652675,0.2334707291918052,0.317645400762558,0.7903726708074534,7
100,0.7601937358827762,0.7601937358827762,0.1442609336274956,0.3597961170570142,0.32292893528938293,0.9642857142857143,7
5,0.1468944099378882,0.10186973059018901,0.08906487232574188,0.1461327871741242,0.2638716697692871,0.43478260869565216,8
10,0.21755089717046236,0.20507957596340717,0.08870129763430562,0.17534092556240008,0.289806991815567,0.6288819875776398,8
20,0.3226295032196254,0.3212079003228673,0.10041552306026505,0.21723122491043062,0.29934293031692505,0.7624223602484472,8
100,0.7617535718016099,0.7617535718016099,0.13506164837982945,0.35292977063953923,0.3055620491504669,0.9720496894409938,8
5,0.17448240165631468,0.1234125244712008,0.1024745514147688,0.16864048039683815,0.29508280754089355,0.5031055900621118,9
10,0.2255853790791679,0.21237422520553964,0.09737303289155552,0.1887295615216115,0.3159303069114685,0.6583850931677019,9
20,0.3353426706370888,0.3336632777877974,0.11109679883311327,0.23385852644736368,0.3238835632801056,0.7717391304347826,9
100,0.7591734533233878,0.7591734533233878,0.1470276716267764,0.36749505788478354,0.3296969532966614,0.9627329192546584,9
