,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.19378172588832485,0.034408466570729636,0.13599407783417936,0.19519230601769583,0.3025591969490051,0.4733502538071066,0
10,0.1847881919265168,0.055704001241271665,0.10659040703139687,0.18653729316251794,0.3206716775894165,0.6116751269035533,0
20,0.18376966878670054,0.09085030225542419,0.08641249917049874,0.17997984101992234,0.3267294466495514,0.700507614213198,0
100,0.3100689644300381,0.29299639877271666,0.07322883304110968,0.22064872736859512,0.33234211802482605,0.9048223350253807,0
5,0.15814297800338412,0.02872005103818197,0.10725465313028766,0.16268195814081965,0.2677876353263855,0.4263959390862944,1
10,0.1589542542905487,0.051667737887346056,0.08692000376010528,0.16111119678783242,0.2874878942966461,0.5710659898477157,1
20,0.16793590372545597,0.09497405441201885,0.07036432421758149,0.15952111952607032,0.29606837034225464,0.699238578680203,1
100,0.31190646114601794,0.2999428759935642,0.06578769250539444,0.2116871802531985,0.3016306757926941,0.9111675126903553,1
5,0.19077834179357023,0.031966224979152774,0.13094331641285956,0.1954016860347818,0.31916242837905884,0.5050761421319797,2
10,0.1888783135927806,0.05618873250052793,0.10607098973261046,0.19139011537233516,0.33757954835891724,0.6434010152284264,2
20,0.18915689215430104,0.0966125421834609,0.0848817420659948,0.18405217587800538,0.34427082538604736,0.7449238578680203,2
100,0.32052102130416843,0.30206657324457964,0.07498183247185271,0.22798233049835764,0.3489898443222046,0.9276649746192893,2
5,0.17106598984771576,0.030784903111361457,0.11211505922165821,0.17442829257078557,0.2928510904312134,0.46954314720812185,3
10,0.17613457819676093,0.05508912043124474,0.09234405634786345,0.17460050469006835,0.3114908039569855,0.6091370558375635,3
20,0.18081590012120138,0.09916996958257734,0.07526981460481627,0.16981336535081676,0.31718680262565613,0.6941624365482234,3
100,0.32166490276884224,0.30986432556914667,0.06819830072084569,0.21684542453661154,0.32277920842170715,0.9111675126903553,3
5,0.18458121827411167,0.030621617192861817,0.12704314720812185,0.18939050346449152,0.3103637993335724,0.47715736040609136,4
10,0.18416827814035935,0.05379427412198793,0.10292418687723257,0.18626370909726242,0.33206936717033386,0.6357868020304569,4
20,0.18639772689832804,0.09418348111852301,0.08422681189846735,0.18216724757454617,0.33887261152267456,0.7322335025380711,4
100,0.3234822571271212,0.3057593516343313,0.07549263109231162,0.23006700156239662,0.3439752757549286,0.9263959390862944,4
5,0.17961082910321488,0.030563564208465482,0.1208544839255499,0.1830411260416751,0.30319371819496155,0.48984771573604063,5
10,0.18451273064217227,0.05643527741523836,0.09978827345941196,0.18295296239932357,0.3207673728466034,0.6192893401015228,5
20,0.19137957234290978,0.10174385857282517,0.08168021014710161,0.18034352708723903,0.3286653459072113,0.733502538071066,5
100,0.32263738505814676,0.3076459781055618,0.07259062082030845,0.22547890219315497,0.333537757396698,0.9238578680203046,5
5,0.18515228426395944,0.0317875535644556,0.12556683587140438,0.18837232615414742,0.3070431351661682,0.501269035532995,6
10,0.1797911127225848,0.05579502337161267,0.09953881637257272,0.18256356388387796,0.3261738419532776,0.6395939086294417,6
20,0.17503373004730438,0.09171446115576683,0.07900360329939475,0.17426903097662572,0.3325408399105072,0.7347715736040609,6
100,0.30609688838414556,0.2933803259375478,0.07085602247099217,0.21967590183805788,0.3368295729160309,0.8972081218274112,6
5,0.17280033840947545,0.03349365858300885,0.11862098138747884,0.17808861423099437,0.2996404469013214,0.47715736040609136,7
10,0.16957890178067844,0.05403604078139069,0.09523473800123546,0.17280530207051586,0.315794974565506,0.600253807106599,7
20,0.17179652423769873,0.08985771458928733,0.07791235464300504,0.16882523526244794,0.3225718140602112,0.699238578680203,7
100,0.3156262349558858,0.2994789538188153,0.07107042435085172,0.21944476914469038,0.3283969461917877,0.9098984771573604,7
5,0.17609983079526226,0.026660150880100684,0.11940355329949238,0.1809100204537256,0.2964043915271759,0.46446700507614214,8
10,0.17823503343807912,0.05486013123138504,0.09689969967118263,0.179237869358925,0.31607747077941895,0.6091370558375635,8
20,0.17725890014903034,0.09240940308464174,0.0779905166782123,0.17260353357742,0.3220098912715912,0.6979695431472082,8
100,0.3129311323220201,0.2990289050125109,0.07026344623808463,0.21838347046546613,0.3271598517894745,0.8908629441624365,8
5,0.19213197969543147,0.0349675275869748,0.13452622673434855,0.2007195214437801,0.3385998010635376,0.5152284263959391,9
10,0.18886370961244062,0.05714072807319661,0.10914675585406187,0.19446924254744302,0.3540317118167877,0.631979695431472,9
20,0.1915309639731993,0.09645945386748485,0.08990843655788483,0.18929114465736524,0.36037588119506836,0.7246192893401016,9
100,0.3255248394832398,0.3088512975209808,0.07753738955700426,0.2290724848470461,0.3654325604438782,0.916243654822335,9
