,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.06157407407407407,0.058875141241081196,0.031298529889538663,0.04540092484130526,0.056728195399045944,0.11348684210526316,0
10,0.09929199445372691,0.09837128658541934,0.03614373663458507,0.05970997044186499,0.06604358553886414,0.1840277777777778,0
20,0.1518466639056487,0.1516126325710167,0.040124567856967296,0.07552369570121205,0.07174491137266159,0.2666301169590643,0
100,0.3535362916941719,0.35352789668320694,0.0462577993522564,0.12033547578117061,0.07798831909894943,0.5277777777777778,0
5,0.05465704191033139,0.052276394985659495,0.026832917072774527,0.03992609808700336,0.050277162343263626,0.1032529239766082,1
10,0.09457744476933072,0.09366863280114117,0.03203429152112166,0.05495492640692375,0.05964303016662598,0.17507309941520469,1
20,0.14875740049207592,0.1484060256618136,0.03616465261182966,0.07107105635888707,0.06539510935544968,0.2589546783625731,1
100,0.34587309714562325,0.34587309714562325,0.04213383102977547,0.1150732027988466,0.07151015847921371,0.5177266081871345,1
5,0.053673245614035095,0.05174437853737765,0.026642401721897337,0.03913227688929699,0.04897356405854225,0.10014619883040936,2
10,0.09680632425972337,0.09620178920831672,0.03220133336561016,0.05498618963590309,0.05845298990607262,0.17306286549707603,2
20,0.15199997134913762,0.1517886898685724,0.0364232003184097,0.07164051802976047,0.06467092037200928,0.2633406432748538,2
100,0.35843646512587035,0.35843646512587035,0.04264058300928194,0.11728955168400174,0.07116465270519257,0.5332602339181286,2
5,0.05846734892787524,0.05616166286322699,0.031231471328784923,0.0442902783750225,0.055537279695272446,0.10562865497076024,3
10,0.09859595458553791,0.09769128162493661,0.036313914131347255,0.05906977675834878,0.06466477364301682,0.17580409356725146,3
20,0.15139418267876628,0.1509829860012669,0.040232598021506055,0.07485457026852316,0.07049539685249329,0.2605994152046784,3
100,0.3526652686769788,0.3526484786550489,0.046266715868809115,0.1194729806346737,0.07683242112398148,0.5221125730994152,3
5,0.055068226120857704,0.05250760298943745,0.028922037443144893,0.04137240501496958,0.05234527587890625,0.10105994152046784,4
10,0.09485997981063772,0.09390507409634787,0.033865658926352106,0.056297001102297586,0.0623168908059597,0.17598684210526316,4
20,0.15210910547355982,0.15172381051243325,0.03810825125507376,0.07349341342757706,0.06859827041625977,0.2680921052631579,4
100,0.3445437292566272,0.3445437292566272,0.043906081830757795,0.11651513437594158,0.07464853674173355,0.5211988304093568,4
5,0.053676291423001954,0.050804729166909826,0.02707013482781027,0.039730097130607794,0.05015229433774948,0.09978070175438597,5
10,0.0928683833426158,0.09183400695636137,0.032048894137671854,0.054341141208061536,0.05947079509496689,0.17050438596491227,5
20,0.14792107332298574,0.14751116898453395,0.036158140416937185,0.07085725761859767,0.06557439267635345,0.2589546783625731,5
100,0.3433542383958384,0.34334584338487345,0.04197722953940764,0.11378605114552949,0.07149606943130493,0.5080409356725146,5
5,0.05455348440545809,0.05190078000929183,0.027996872969460688,0.040566378302044584,0.051315788179636,0.10215643274853801,6
10,0.09592478012160031,0.09485111352719457,0.03318083358634498,0.05591271135100569,0.06092234328389168,0.17580409356725146,6
20,0.1521079068921561,0.15162078043720612,0.037353450113057816,0.07258666948970056,0.06683368235826492,0.2605994152046784,6
100,0.3479508108403189,0.34794241582935403,0.04331533337955544,0.11626473326918894,0.07292478531599045,0.5144371345029239,6
5,0.05727643762183235,0.05524794365964682,0.027892350958414552,0.041323086142038834,0.05224780738353729,0.10544590643274854,7
10,0.09166115520282186,0.09090982061143944,0.0323788790207441,0.05455552029537906,0.061077531427145004,0.17196637426900585,7
20,0.1456401792956069,0.14538836588891693,0.03642350539459387,0.07080964333505481,0.06715642660856247,0.2604166666666667,7
100,0.3473385943385583,0.3473385943385583,0.04259392322113143,0.11600045128292163,0.07349728047847748,0.5201023391812866,7
5,0.05976181773879142,0.05755026846642509,0.031166646361273555,0.04412043976302081,0.05308540537953377,0.10562865497076024,8
10,0.10682130673906991,0.10591980342105549,0.03740944563030703,0.06147964931593857,0.06356863677501678,0.18421052631578946,8
20,0.16153731215943512,0.1611582945619319,0.041555633476242616,0.07781285265069067,0.06953193247318268,0.26991959064327486,8
100,0.36197654815922903,0.36197654815922903,0.04759304497559006,0.1223922411251964,0.07581767439842224,0.5317982456140351,8
5,0.056122076023391816,0.05333535532473302,0.028441154970760232,0.041631267035292206,0.05287523940205574,0.10562865497076024,9
10,0.09968628167641326,0.09858588745781856,0.03400196448922866,0.05775884972577983,0.06278087198734283,0.18165204678362573,9
20,0.15754597775290227,0.15708774073776863,0.03829858281029082,0.07489375158781593,0.06893942505121231,0.27028508771929827,9
100,0.3595698228156859,0.359561427804721,0.044449284126120966,0.12003244892113232,0.07528242468833923,0.5349049707602339,9
