Run_id,k,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,5,0.07604851073149366,0.060972336317381484,0.04635001460067163,0.07450281745865338,0.14123959839344025,0.22749671484888304,0.5549517294290647,0.993810293068195,260.4752816586505
0,10,0.08164943265961663,0.0775400646663627,0.041716603948546364,0.073941358096422,0.14907200634479523,0.28580814717477004,0.6411994118023144,0.9934494376147871,353.75100135438316
0,20,0.10331794052788992,0.10277907360699368,0.04217779878860386,0.08150392597304819,0.1554267704486847,0.37992772667542707,0.6630650214180679,0.993135630029801,491.59326578613485
0,100,0.1904146558361719,0.1904146558361719,0.045220325339327704,0.10823544623510543,0.1607358306646347,0.6028252299605782,0.6673486349977623,,1042.9478257131996
1,5,0.08052452912833989,0.06524460799368702,0.050503768798364726,0.07932480541910612,0.14703242480754852,0.23505256241787123,0.5528418899047376,0.9938876090942254,267.8568726009553
1,10,0.09057331101516383,0.08637586068655587,0.046399592219960935,0.08077811423497268,0.156902015209198,0.3086399474375821,0.637810881657183,0.9934568336537161,363.3806657502451
1,20,0.11058254239742567,0.11002611568504242,0.04686754669502882,0.08795166667175852,0.16281242668628693,0.3947109067017083,0.658014193465891,0.9931282093944513,504.5609913365076
1,100,0.1957765208099146,0.1957765208099146,0.049957253088040256,0.11496660983633172,0.16814438998699188,0.6171156373193167,0.660124032990218,,1083.878272779846
2,5,0.07617444152431012,0.06118608527520513,0.04517794568550153,0.07265233940827219,0.13388359546661377,0.22536136662286466,0.554759925835944,0.9938875696517061,257.87906867870225
2,10,0.08567374277788206,0.0814749075333925,0.041363064261330164,0.07420826774917214,0.14389854669570923,0.30009855453350853,0.6411354772712742,0.9935035813087421,354.6190155908059
2,20,0.10704117802879312,0.10652484608539195,0.04189774262530202,0.08169012923293094,0.14991486072540283,0.38863337713534823,0.6638961703215907,,497.10789589196935
2,100,0.19298614271230896,0.19298614271230896,0.04493340417489544,0.10866857597508843,0.15543988347053528,0.6169513797634691,0.6654305990665559,,1068.5633249296227
3,5,0.07619908015768725,0.06181733110995158,0.0485590505913272,0.0756778031026807,0.13964903354644775,0.22289750328515112,0.5569976344223515,0.9938025301898249,259.7324792197554
3,10,0.08387759944100286,0.07996967544649936,0.04456764107733423,0.07649374373632854,0.1488175392150879,0.2925427069645204,0.638386292436545,0.993442615268953,361.18283230471917
3,20,0.10492773226022133,0.10440307332560098,0.045164081840816786,0.08396909925925194,0.15479357540607452,0.37959921156373194,0.6599322293970974,,506.096384562938
3,100,0.19040892596425385,0.19040892596425385,0.04817604221304282,0.11077424798201309,0.16020311415195465,0.6038107752956636,0.6626814142318266,,1072.160156081868
4,5,0.07574737187910645,0.060795228817406836,0.047030314644473645,0.07415737063617042,0.13808585703372955,0.22306176084099869,0.5477271274215204,0.9939566249524749,256.3851569359951
4,10,0.0839856704836994,0.07997685516791357,0.042910700716566864,0.07497359360582742,0.14729028940200806,0.29139290407358737,0.6348698932293332,0.9935874854305368,351.6375812777705
4,20,0.10312264539428927,0.10262854555087726,0.04332872505416887,0.08181454811046422,0.15293154120445251,0.37417871222076216,0.6552650086311617,,487.37648290633786
4,100,0.18721698513564217,0.18721698513564217,0.046330792062422875,0.10817069314004571,0.1582113802433014,0.5908344283837057,0.6573748481554887,,1038.1599931100448
5,5,0.07752135348226019,0.06256739244460058,0.048174596656446196,0.07611813364764838,0.14213480055332184,0.22848226018396847,0.5522025445943354,0.9938182337204313,255.64499290283817
5,10,0.08849721283607616,0.08420570256282904,0.04461817327036669,0.07812234945507894,0.15180416405200958,0.30009855453350853,0.6391535068090276,0.9934317006105223,349.167131497922
5,20,0.10998801710397989,0.10939379301655076,0.04518800373322799,0.08565500868443428,0.15797339379787445,0.3897831800262812,0.6627453487628668,0.9931300218534368,483.68505260059067
5,100,0.192983517619893,0.192983517619893,0.048154136403838727,0.11201908055097153,0.1634584665298462,0.6115308804204993,0.6646633846940733,,1015.7645945557198
6,5,0.07854796320630748,0.06347370698383625,0.04740281427945686,0.07503877492631693,0.13599978387355804,0.22552562417871222,0.5545681222428234,0.9938047185280767,259.5573661662431
6,10,0.08766093329578874,0.08363704976262416,0.04332860340168335,0.07630617330666245,0.1456422209739685,0.29878449408672797,0.6383223579055047,0.9933931332729731,353.3479439786594
6,20,0.10713597355264538,0.10658393228453865,0.04386164681237252,0.08341537560449165,0.15153425931930542,0.3828843626806833,0.6610830509558212,,491.20408567841514
6,100,0.19320400629299514,0.19320400629299514,0.046866042558523294,0.11032062653685103,0.157098650932312,0.6162943495400789,0.6647273192251135,,1020.7221660791364
7,5,0.07470981165133596,0.059947283492312264,0.045199664184552485,0.07228506217026319,0.1348280906677246,0.22026938239159002,0.553289431622019,0.9939254730752016,251.27775966779924
7,10,0.08372364057318064,0.07950457389326948,0.04131913061587851,0.07353309935684778,0.14429497718811035,0.2907358738501971,0.6411994118023144,0.9934648548885847,346.60327731841016
7,20,0.10283039493001968,0.10237369072940768,0.0416950395772471,0.08024500809023274,0.14993098378181458,0.3735216819973719,0.665174860942395,0.9930917824306461,482.29833025738327
7,100,0.18660692553719632,0.18660692553719632,0.04464139412323177,0.10643756396145976,0.15521761775016785,0.592969776609724,0.668435522025446,,1025.3162518484542
