,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.023890887290167865,0.022342126298960832,0.01353117505995204,0.017471744174089376,0.018465228378772736,0.03237410071942446,0
10,0.0413619104716227,0.04125699440447642,0.01643173556392981,0.024582288189040676,0.021749744191765785,0.05755395683453238,0
20,0.062253054699097865,0.062253054699097865,0.01936025835879598,0.03178080072007978,0.02332168258726597,0.08183453237410072,0
100,0.14744879421138413,0.14744879421138413,0.022565859819491992,0.0512371288081529,0.025428451597690582,0.1735611510791367,0
5,0.025899280575539568,0.023568452929963724,0.0163234412470024,0.01993643733713775,0.020773382857441902,0.03507194244604316,1
10,0.0386290967226219,0.03836161839758962,0.017941486096836816,0.0249854847585572,0.023361310362815857,0.05485611510791367,1
20,0.05170951151166978,0.05170951151166978,0.019129513945126624,0.02883355076293729,0.024210387840867043,0.06744604316546762,1
100,0.15427314242512083,0.15427314242512083,0.022205210849948934,0.050565988079107387,0.026692278683185577,0.18255395683453238,1
5,0.026918465227817743,0.02543580520199225,0.014949040767386092,0.019051739822539764,0.018270382657647133,0.0341726618705036,2
10,0.040662470023980817,0.04046877882309537,0.016756279500209355,0.02418383656876442,0.020831191912293434,0.052158273381294966,2
20,0.05728746672991277,0.05728746672991277,0.018779046401573383,0.02988118206716436,0.02214966155588627,0.07194244604316546,2
100,0.15517483865055806,0.15517483865055806,0.02197405811575631,0.050869670220877364,0.02460649237036705,0.18345323741007194,2
5,0.023711031175059953,0.02217841111726004,0.013648081534772183,0.01728132994255741,0.01858513243496418,0.030575539568345324,3
10,0.03439248601119104,0.03427373485826723,0.014918119076167639,0.021308099140897513,0.020759107545018196,0.046762589928057555,3
20,0.0558457629500795,0.0558457629500795,0.016668098818298165,0.027484565552414943,0.022629497572779655,0.07464028776978417,3
100,0.15964658592806075,0.15964658592806075,0.019976111766025116,0.05001439733956674,0.025245102122426033,0.19334532374100719,3
5,0.017670863309352518,0.016667819590481463,0.011602218225419665,0.014292289721986153,0.0154976025223732,0.025179856115107913,4
10,0.030545563549160673,0.03042681239623686,0.013768610111910473,0.01963232774197591,0.01794564537703991,0.04316546762589928,4
20,0.04972708646269797,0.04972708646269797,0.015611605435173826,0.025813952180234873,0.01993662305176258,0.07284172661870504,4
100,0.1545906955754078,0.1545906955754078,0.019079016571863696,0.048632586157248005,0.02231590263545513,0.18705035971223022,4
5,0.021687649880095923,0.020468625099920066,0.013736510791366908,0.01683180721719331,0.01791067235171795,0.02877697841726619,5
10,0.03160471622701839,0.03160471622701839,0.015267143428114652,0.020627490926054964,0.01958504691720009,0.04136690647482014,5
20,0.056336002626470254,0.056336002626470254,0.017637541961494568,0.02814848074017729,0.021645579487085342,0.07284172661870504,5
100,0.15600694768860235,0.15600694768860235,0.020971584292729488,0.049741124740831866,0.024104701355099678,0.18255395683453238,5
5,0.030965227817745807,0.02890418434483183,0.019721223021582735,0.02370376355380977,0.024640288203954697,0.03866906474820144,6
10,0.04242106314948041,0.04216857283404046,0.020729820905180617,0.02784977805728803,0.027064062654972076,0.05665467625899281,6
20,0.06372240119991919,0.06372240119991919,0.0226389635380005,0.034372175003279534,0.028735339641571045,0.08273381294964029,6
100,0.16620038634427123,0.16620038634427123,0.02626678698139114,0.05723215412002763,0.03130915388464928,0.19964028776978418,6
5,0.027488009592326144,0.02597921662669864,0.016401378896882493,0.02041639694311684,0.020233813673257828,0.03597122302158273,7
10,0.04651278976818545,0.046407873701039166,0.019479898224277717,0.028242552406945357,0.02409643679857254,0.06564748201438848,7
20,0.06503475790795935,0.06503475790795935,0.02169460365611069,0.03430484362925073,0.025528015568852425,0.08633093525179857,7
100,0.1812895462850499,0.1812895462850499,0.025593415239278872,0.059518192568017755,0.0284090805798769,0.21133093525179855,7
5,0.025179856115107913,0.02305655475619504,0.014517386091127099,0.018653793776759253,0.019949041306972504,0.03507194244604316,8
10,0.03537669864108713,0.03533173461231015,0.015942115355334782,0.022637264285782128,0.0217447467148304,0.048561151079136694,8
20,0.05364065890145027,0.05364065890145027,0.01803285431739518,0.02866312720410546,0.023244943469762802,0.0710431654676259,8
100,0.16031353488637662,0.16031353488637662,0.02149887954643826,0.0519393530795458,0.025885069742798805,0.19154676258992806,8
5,0.024160671462829738,0.02230830720039353,0.015241306954436451,0.019287022455277004,0.02233213372528553,0.03597122302158273,9
10,0.03438749000799361,0.034178810797515835,0.01611093268242549,0.022894880830779413,0.02438620664179325,0.051258992805755396,9
20,0.0599667518732267,0.0599667518732267,0.01875758520318221,0.030907117669749785,0.02626192569732666,0.07913669064748201,9
100,0.17697171932783445,0.17697171932783445,0.023063353582926466,0.0569805022753709,0.029147041961550713,0.20593525179856115,9
