,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.01717448710136096,0.005837501229880385,0.00836024781637213,0.016678887600895365,0.03405443951487541,0.0725167580743449,0
10,0.023175957362429025,0.014948006825624699,0.006842042722476402,0.019254284721337358,0.04248643293976784,0.1365021328458257,0
20,0.03419731959664098,0.029278860013347036,0.0063674267158522315,0.023177550317512997,0.04785066843032837,0.2205971968312005,0
100,0.09898313750119092,0.09829203371265392,0.007932837360789357,0.04574701196221461,0.05461617931723595,0.5082266910420475,0
5,0.016971358927483245,0.006835950075793842,0.009488117001828153,0.01782542345494096,0.038634978234767914,0.07068860450944546,1
10,0.023109457067409533,0.015261936054770348,0.007848321348310466,0.020228698246223864,0.04661743342876434,0.13284582571602682,1
20,0.03518636501017176,0.030911752767394877,0.007260746817682681,0.023601577507281184,0.0512072816491127,0.20292504570383912,1
100,0.10160592040587262,0.10097331614661398,0.00889696919704131,0.04672686703263003,0.05813015624880791,0.4984765386959171,1
5,0.019601868779199675,0.006187309571569893,0.010103595368677635,0.019446217781058303,0.03923420608043671,0.08043875685557587,2
10,0.024474526759718715,0.014289959171797909,0.008081218336071647,0.021194096107879864,0.04725776985287666,0.14137720901889092,2
20,0.03341640545124508,0.027276723576456507,0.007091362097446981,0.02425922833364837,0.05212777853012085,0.21450335161486897,2
100,0.09405879823023602,0.09320394684324887,0.008065049705195448,0.044908834399538786,0.058551330119371414,0.4893357708714199,2
5,0.016930733292707698,0.0062336726113458975,0.00775086329473898,0.015749342326934406,0.031647369265556335,0.06886045094454601,3
10,0.0197740440884865,0.011634704449655616,0.0060343314826099715,0.017284430646169316,0.039160456508398056,0.1267519804996953,3
20,0.02455707782412408,0.019224409414554604,0.0053506338376244625,0.01945293748945456,0.04346495866775513,0.1907373552711761,3
100,0.08922240744624167,0.08850389147576271,0.0068763364691395105,0.042316933887714084,0.050675295293331146,0.4960390006093845,3
5,0.016158846231972373,0.006098275695061349,0.008789863904123504,0.01690426576103736,0.037355273962020874,0.06946983546617916,4
10,0.021531344611783368,0.01379701640772654,0.007101147063876671,0.018951371581890402,0.04507680609822273,0.12979890310786105,4
20,0.030835686953138746,0.026701807482638857,0.006468364339147633,0.02198944596419489,0.04987765848636627,0.2017062766605728,4
100,0.09811280959469548,0.09769059459356244,0.008202587798952759,0.04540979170259277,0.056559499353170395,0.49116392443631934,4
5,0.01816981515336177,0.00658551735001934,0.008702518789356083,0.017226476798043403,0.03452163189649582,0.07373552711761121,5
10,0.023765029066674402,0.014885948462852178,0.00723605735430697,0.01985033820480239,0.042888093739748,0.13893967093235832,5
20,0.02870331462228723,0.023919196510209618,0.006280683481330278,0.0213397392004331,0.046739522367715836,0.19500304692260817,5
100,0.0970632234566231,0.09645925916052348,0.007866329372167056,0.04520851737340324,0.0542566291987896,0.5076173065204144,5
5,0.02118626853544587,0.0075622420519690925,0.01160674385537274,0.021965579500226713,0.04629291594028473,0.08775137111517367,6
10,0.02667870926554656,0.01643889525343263,0.00922117915597864,0.023919370222105697,0.05468815192580223,0.15295551492992077,6
20,0.03388848082328139,0.02813347175700968,0.007978243651854072,0.02622615924960276,0.05898972973227501,0.21876904326630103,6
100,0.09732966006244949,0.09672922165830684,0.009282903126256783,0.048368128502257225,0.06550821661949158,0.5015234613040829,6
5,0.0195815559618119,0.007035222491876926,0.010840442819419054,0.020191369579362413,0.04235222563147545,0.07861060329067641,7
10,0.02249402706441098,0.012860983080433201,0.008580306888593793,0.021207917998791473,0.04900491237640381,0.13040828762949422,7
20,0.026671486993125992,0.021085278789344797,0.007249035732534813,0.022192703301079572,0.05264660343527794,0.1858622790981109,7
100,0.09532249150354974,0.09463098769261682,0.008593116751227255,0.04531602050693693,0.05979485064744949,0.4826325411334552,7
5,0.019358114970546417,0.006006698842353081,0.010828255128986391,0.02012563315474911,0.042240504175424576,0.07800121876904327,8
10,0.021866989737190836,0.012812278610993207,0.007997653662318065,0.020191569482505556,0.048222631216049194,0.12431444241316271,8
20,0.028591310798296833,0.023228494814184195,0.006761909818540881,0.022123660618583823,0.05267386883497238,0.19195612431444242,8
100,0.0895719964105454,0.08926942621335106,0.0077238441192423075,0.04323889546890041,0.059578634798526764,0.4765386959171237,8
5,0.019703432866138536,0.007232580751819907,0.010978062157221207,0.019898573183060975,0.03974202647805214,0.07434491163924437,9
10,0.023500478802124143,0.013050879347628606,0.009173943123190097,0.021784070206271204,0.04757140949368477,0.1340645947592931,9
20,0.03070168829390251,0.024831872157627426,0.007936060229767538,0.02360895559816744,0.05118062347173691,0.18951858622790982,9
100,0.0914466960351573,0.09022188709259818,0.009121358634449087,0.04489216295531837,0.05800079554319382,0.473491773308958,9
