,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.011790393013100439,0.0007907614774390829,0.0069104803493449775,0.011493294429596021,0.019395925104618073,0.03802765647743814,0
10,0.019577874818049488,0.002698231322802658,0.006531070215568033,0.01687271458759132,0.030251365154981613,0.1257278020378457,0
20,0.02816040992708882,0.0077761524287985285,0.006085660279952098,0.02379982547037756,0.04330546036362648,0.31768558951965065,0
100,0.061451976697602044,0.05179439254272745,0.0059224013287669675,0.04429530495067075,0.0558265782892704,0.8087700145560408,0
5,0.010698689956331879,0.0007917293601659481,0.005926734594856866,0.01035641477318463,0.01814652979373932,0.03529839883551674,1
10,0.018995633187772927,0.002789259212140629,0.005766408759039764,0.01604493242902732,0.02942240983247757,0.12863901018922852,1
20,0.027880954299872536,0.00802260692636898,0.005585795632451231,0.02330599887046352,0.04254865646362305,0.3200509461426492,1
100,0.06187706733707199,0.052543233711348794,0.005781843548070541,0.04429013746471951,0.054703935980796814,0.8014919941775837,1
5,0.010844250363901018,0.0007903411373594105,0.006542333818534691,0.010615937247683208,0.01808284781873226,0.035480349344978165,2
10,0.018195050946142648,0.002665876050528979,0.0058875069314479785,0.01565964988626498,0.028982767835259438,0.12445414847161572,2
20,0.027015885771542857,0.008061659612889545,0.005370260210054519,0.022689817041103077,0.042010050266981125,0.31513828238719066,2
100,0.06064211821905984,0.05152565374141445,0.005406335032745323,0.04337293362459033,0.054314613342285156,0.8038573508005823,2
5,0.009788937409024744,0.0007127178148920385,0.005745997088791848,0.009800478489742142,0.017634037882089615,0.033114992721979625,3
10,0.018649927219796216,0.0028378767775232047,0.005403691862480072,0.015729275821140077,0.02968132682144642,0.13336972343522563,3
20,0.027706071352351116,0.008122924934058327,0.00515752389996712,0.0230673814161354,0.04277243837714195,0.3256914119359534,3
100,0.060878888143611865,0.05184113044905495,0.005305725161465652,0.043455190414203794,0.0548279732465744,0.8058588064046579,3
5,0.01331877729257642,0.0008974126375711776,0.007988233867054828,0.01317648939659791,0.02241327054798603,0.042758369723435226,4
10,0.021251819505094617,0.0029211831687975683,0.0070586761511979845,0.018533578568383984,0.03392452746629715,0.137372634643377,4
20,0.030315264559357364,0.008334634630397582,0.006648402877588002,0.025805123481182832,0.04736965522170067,0.3331513828238719,4
100,0.062047030392085825,0.05208910672062289,0.0061381676378903655,0.045113683632983695,0.05898779258131981,0.8020378457059679,4
5,0.011972343522561865,0.00082937049454866,0.007027535177098496,0.011734050517940804,0.02009340189397335,0.0391193595342067,5
10,0.0212882096069869,0.002934612214881263,0.006738407153254315,0.018059413463434558,0.03221997246146202,0.1401018922852984,5
20,0.029846528105020913,0.008443552043626916,0.006335416987213556,0.025159462732157967,0.04518215358257294,0.326783114992722,5
100,0.06220675554286585,0.052021712105160225,0.006060111062987285,0.04524259738120056,0.056998852640390396,0.7969432314410481,5
5,0.012117903930131003,0.0008385030509293066,0.007147016011644833,0.011905694721083396,0.020702937617897987,0.04002911208151383,6
10,0.021724890829694324,0.003074234421642992,0.007005643353896628,0.0184884639846911,0.03339824452996254,0.1433770014556041,6
20,0.029142954918026064,0.008420196985345017,0.0063654934941871815,0.024770001310496725,0.0454753153026104,0.32041484716157204,6
100,0.06256337728657463,0.05278722686849261,0.006083989148222904,0.04531048925709115,0.057865209877491,0.8147743813682679,6
5,0.011171761280931588,0.0006935394032521473,0.0068722707423580776,0.011192511993209493,0.019071444869041443,0.035116448326055316,7
10,0.02061499272197962,0.002711865107167491,0.006564889905501259,0.017541995515258875,0.031155340373516083,0.1351892285298399,7
20,0.029810184365256218,0.008302719188311715,0.0063284525693754635,0.02502640272608196,0.04446405544877052,0.3306040756914119,7
100,0.06287783945613945,0.05326028132533409,0.006015398838350916,0.04527150088204878,0.05604681000113487,0.8014919941775837,7
5,0.011790393013100435,0.0008270416648177654,0.0068182920912178546,0.011740046961585305,0.020872756838798523,0.04057496360989811,8
10,0.021379184861717613,0.0029996232795198915,0.006820746979043922,0.018256730130701032,0.03273123502731323,0.13719068413391558,8
20,0.029505025568874146,0.008028720850304141,0.0064310867656424435,0.025062643334525635,0.04580766335129738,0.32587336244541487,8
100,0.06164186976547751,0.051119857415905766,0.006169664984632044,0.04502876986299147,0.057561684399843216,0.8036754002911208,8
5,0.011426491994177584,0.0007348910357004898,0.006570232896652111,0.010889910214505123,0.017900899052619934,0.03748180494905386,9
10,0.020269286754002913,0.002820628312285157,0.006387430396709872,0.01707855327201747,0.030049055814743042,0.13628093158660845,9
20,0.02905474108968995,0.008403752309343156,0.00607635865380458,0.024317251146511485,0.042961739003658295,0.325509461426492,9
100,0.06287210918991643,0.05327664505308862,0.005938334223176473,0.045031156586540055,0.054906412959098816,0.7996724890829694,9
