,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.08936170212765958,0.007266255277857734,0.04567671394799054,0.08610785612441016,0.16043144464492798,0.3333333333333333,0
10,0.09122340425531915,0.014801013267710482,0.035113102274006526,0.08839523488943128,0.18274477124214172,0.5053191489361702,0
20,0.09397163120567376,0.030867255887200136,0.028115658499835265,0.0912060199871129,0.19374455511569977,0.6640070921985816,0
100,0.2251661178360516,0.22278834434012112,0.04439278880881695,0.17571169539330192,0.20093052089214325,0.9166666666666666,0
5,0.08546099290780142,0.006876716077994898,0.045735815602836884,0.08501936675899369,0.16545508801937103,0.32092198581560283,1
10,0.09202127659574467,0.01489517664275985,0.03631223263537093,0.0897062491537378,0.18845197558403015,0.49556737588652483,1
20,0.0918932230102443,0.029883700410526307,0.028471816688004557,0.0903171997781316,0.19881942868232727,0.6453900709219859,1
100,0.2145165477606157,0.2121285787949783,0.04226835498776681,0.16886022476672508,0.20638972520828247,0.9219858156028369,1
5,0.08829787234042552,0.007207480926225806,0.0453339243498818,0.08498909474490593,0.15750591456890106,0.324468085106383,2
10,0.08900709219858155,0.014425001791560034,0.035360695992344926,0.08679076530246047,0.1772272288799286,0.4716312056737589,2
20,0.08907604412923563,0.02885170950708884,0.02783866227439128,0.0875122553976006,0.18722528219223022,0.6187943262411347,2
100,0.20804362233098045,0.20605642916299155,0.04070966058602047,0.1639382945815351,0.19549451768398285,0.9175531914893617,2
5,0.08546099290780142,0.00674027345023098,0.044896572104018914,0.0839787494921375,0.1594858169555664,0.32092198581560283,3
10,0.09255319148936171,0.015038487566630501,0.03633168693009119,0.08965665397538437,0.18198983371257782,0.4875886524822695,3
20,0.0900709219858156,0.029557309070180667,0.027676355052727038,0.08884369102031607,0.1926404982805252,0.6400709219858156,3
100,0.21500797933766058,0.2135381681684248,0.04206085992337732,0.1682572994181318,0.200377956032753,0.9219858156028369,3
5,0.08882978723404256,0.007123744131028475,0.04843676122931442,0.08813135663176469,0.16493794322013855,0.3173758865248227,4
10,0.08856382978723405,0.014498414325230533,0.03668063295057975,0.0882469418757835,0.18629087507724762,0.4778368794326241,4
20,0.09160017730496454,0.02994895504967098,0.029022936261677325,0.09034655781220065,0.1976543515920639,0.6409574468085106,4
100,0.21838487158322129,0.21582055767500005,0.04407621870833875,0.171170940141778,0.2051079422235489,0.9157801418439716,4
5,0.08209219858156028,0.006432202005473253,0.04327127659574468,0.07983383223051181,0.14819739758968353,0.2987588652482269,5
10,0.08767730496453902,0.013904865995813701,0.03437616092536305,0.08450336572967955,0.16995525360107422,0.4627659574468085,5
20,0.09069641449960598,0.029075424265845213,0.027558195317490104,0.08771832225277604,0.1822863668203354,0.6365248226950354,5
100,0.20806369035651207,0.20597835724732558,0.040797247251363175,0.16375362278792602,0.1897578090429306,0.9131205673758865,5
5,0.09379432624113476,0.00755918022156666,0.050067966903073295,0.09345764511238819,0.18225473165512085,0.350177304964539,6
10,0.09707446808510638,0.015821001748814137,0.03941274766407746,0.0961340033914858,0.20377053320407867,0.5088652482269503,6
20,0.09775413711583925,0.03173384986479841,0.030878728633806942,0.09678031112510865,0.21497125923633575,0.6702127659574468,6
100,0.2262143663448831,0.22370242261945528,0.0458770227416763,0.17866805782983858,0.22190600633621216,0.9273049645390071,6
5,0.08918439716312056,0.007229942384030575,0.0479403073286052,0.0882165326944381,0.16703607141971588,0.32358156028368795,7
10,0.09122340425531915,0.01498037602256721,0.03676365670381628,0.09004837921444682,0.18900921940803528,0.4875886524822695,7
20,0.09193262411347516,0.029827760062488433,0.02845041193933827,0.09094357024792744,0.2004675716161728,0.651595744680851,7
100,0.21200600577989512,0.2098925515091977,0.04177627789229573,0.1676821860946904,0.20810049772262573,0.9281914893617021,7
5,0.08812056737588653,0.006978140852596105,0.046583924349881796,0.08698208969644348,0.16604609787464142,0.3271276595744681,8
10,0.08554964539007093,0.013598297763001713,0.034990782956208485,0.0857420549369024,0.1845572292804718,0.4645390070921986,8
20,0.08918439716312056,0.028024819127034285,0.027716803156003472,0.08818396444089956,0.1956973820924759,0.6276595744680851,8
100,0.20992383085684338,0.20743324710582828,0.04133873858230792,0.16582518114646164,0.2034703940153122,0.9060283687943262,8
5,0.08386524822695036,0.006755151664573488,0.04468380614657211,0.08286909054200402,0.15784575045108795,0.3129432624113475,9
10,0.08617021276595743,0.014137010677979735,0.03455420466058764,0.08502967974234195,0.18010033667087555,0.4804964539007092,9
20,0.08816489361702126,0.028595857898872146,0.027324111985036825,0.08665107962393825,0.19051380455493927,0.6329787234042553,9
100,0.21359515872040338,0.21146982161567238,0.04216136907478706,0.167353402888638,0.1983184665441513,0.9219858156028369,9
