,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.16854906937394246,0.027597339063731824,0.1150148054145516,0.1729639257765556,0.2857656478881836,0.4479695431472081,0
10,0.16873589960518895,0.05076112649152099,0.09310042502618644,0.17034053489590284,0.3039596974849701,0.5850253807106599,0
20,0.17340642337656373,0.08887311079771015,0.07645568484474481,0.16834503942446025,0.312872052192688,0.7157360406091371,0
100,0.2963029546205493,0.28221139092800995,0.06793682477350284,0.21372734574861885,0.3178633153438568,0.8857868020304569,0
5,0.17026226734348565,0.026878148989953277,0.11249365482233503,0.17180065148917667,0.28041455149650574,0.4619289340101523,1
10,0.17228919909757476,0.05055858910683543,0.09236025361686317,0.17141343206988846,0.30073070526123047,0.6091370558375635,1
20,0.17583221624981932,0.09126277472675579,0.07535251457741969,0.16803608278584228,0.3083304464817047,0.7233502538071066,1
100,0.30739617987117984,0.29233465482791293,0.0675084793588682,0.21609448190126035,0.3137822151184082,0.9124365482233503,1
5,0.14663705583756348,0.025096258883618314,0.09717005076142131,0.1508367415944262,0.2579103410243988,0.4073604060913706,2
10,0.15274202320522118,0.047806925503309054,0.08107334779183341,0.15212665479975715,0.27678823471069336,0.5444162436548223,2
20,0.16224790790691257,0.0888330176262063,0.06679568373440213,0.15229555485577,0.2857617139816284,0.6738578680203046,2
100,0.30009612106844596,0.2843874920292986,0.06291394219938282,0.20360624840677322,0.2913479208946228,0.8756345177664975,2
5,0.1557529610829103,0.025342388977477186,0.10504018612521152,0.16061941451679362,0.27074873447418213,0.4213197969543147,3
10,0.15829052856337122,0.04680282887349576,0.08753088518026124,0.1598649107713533,0.2879532277584076,0.5469543147208121,3
20,0.1616974043731933,0.08307128768486391,0.07181188056383855,0.1573335046493176,0.2970963418483734,0.6763959390862944,3
100,0.29647270122552294,0.2817644957846633,0.06465005658397108,0.20486917846247796,0.3030574321746826,0.8921319796954315,3
5,0.15532994923857868,0.02325095296160806,0.10553510998307952,0.1595286334187205,0.26469966769218445,0.42385786802030456,4
10,0.1576686004350979,0.046837007507087226,0.0845157815311686,0.15878710596052442,0.2853315770626068,0.5748730964467005,4
20,0.16681831912262046,0.08920478094426298,0.069671545642629,0.15824140059387592,0.2938885986804962,0.6967005076142132,4
100,0.30303646810394824,0.29100610542439237,0.06297087506403198,0.20700487830182726,0.29943421483039856,0.8959390862944162,4
5,0.1509517766497462,0.023764569485846893,0.09611252115059223,0.1515214067040088,0.25293993949890137,0.43274111675126903,5
10,0.15489938361131253,0.04846232861539295,0.07802424372644338,0.15190943920187128,0.27211442589759827,0.5697969543147208,5
20,0.16207180668370968,0.08716930850601243,0.06448812673665491,0.1518517421758122,0.2803506553173065,0.6890862944162437,5
100,0.30201573837662365,0.29015832033863403,0.060568642859099464,0.20312100511268388,0.28601759672164917,0.8908629441624365,5
5,0.15662013536379019,0.0261338410281293,0.1032445008460237,0.15940786213844957,0.26749154925346375,0.434010152284264,6
10,0.1566302070743695,0.04771238331739727,0.08311791623022587,0.15667962499172322,0.28441300988197327,0.5596446700507615,6
20,0.1643640114724374,0.08568479104711241,0.06887547889919575,0.15570516074246174,0.2922888696193695,0.6738578680203046,6
100,0.29978207621706227,0.28415286782899485,0.06297360556204858,0.2043704138703415,0.29750266671180725,0.868020304568528,6
5,0.14921742808798646,0.025828847608414543,0.09671108291032149,0.1509670162190065,0.2546742856502533,0.4200507614213198,7
10,0.15690214326001128,0.051393128555885494,0.07929355623147924,0.15242591015623053,0.27337393164634705,0.5545685279187818,7
20,0.16874518816280693,0.09075905313882637,0.06661364878307721,0.1540150466125326,0.2825790345668793,0.6916243654822335,7
100,0.30195956359837917,0.28812034831420796,0.06193595960291665,0.2030908354512464,0.28823885321617126,0.8870558375634517,7
5,0.16150592216582063,0.030511022359958524,0.10736886632825719,0.16375433436900053,0.2706852853298187,0.434010152284264,8
10,0.15885806945451617,0.05544396435918458,0.08393102081263036,0.1583927874659724,0.2892801761627197,0.5736040609137056,8
20,0.17022567919835957,0.09933090649210569,0.06892868763961088,0.1578859874816009,0.29826584458351135,0.7068527918781726,8
100,0.31760147758969337,0.30597264008134767,0.06476855931470522,0.210548325001205,0.30336588621139526,0.8984771573604061,8
5,0.1647419627749577,0.027701381095980398,0.11099619289340101,0.16801430131481854,0.27717849612236023,0.4467005076142132,9
10,0.1556038997663363,0.04874416717281421,0.08612134788583603,0.15922207974741004,0.29297447204589844,0.5583756345177665,9
20,0.1624536102536213,0.08693113002357439,0.0693070483164403,0.15565057450055234,0.30084937810897827,0.6725888324873096,9
100,0.29889264317014025,0.28492952420641104,0.06257466997710036,0.2035677133132312,0.3066937327384949,0.8781725888324873,9
