,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.059684684684684686,0.015835605742575774,0.03368806306306306,0.058231823252122165,0.10726351290941238,0.20495495495495494,0
10,0.06013245388245388,0.02552674283848662,0.02634444482038728,0.057580432508670926,0.11911935359239578,0.29504504504504503,0
20,0.07021018533934555,0.04438591444292208,0.022328307079064844,0.06091312368296918,0.1271279752254486,0.40934684684684686,0
100,0.16369194388563826,0.15951574860895854,0.021567765985608,0.0898415923600353,0.13318206369876862,0.6576576576576577,0
5,0.0588963963963964,0.01143460647364872,0.033121246246246246,0.057438096586952654,0.10270270705223083,0.19763513513513514,1
10,0.06047587766337766,0.022556206239609296,0.025513030568834142,0.05724533634614228,0.11555439978837967,0.2922297297297297,1
20,0.07005681584338705,0.041536182156398004,0.021130430894026327,0.06010048477395712,0.12452881038188934,0.42004504504504503,1
100,0.15606618998390606,0.15143076623452378,0.019315429581679647,0.08730213144123203,0.13108514249324799,0.6841216216216216,1
5,0.059581456456456454,0.012410108358905672,0.03482122747747748,0.05926589974005906,0.10865240544080734,0.20382882882882883,2
10,0.060896610896610893,0.02344650016509138,0.026921784312657324,0.058355433404506434,0.11986495554447174,0.28716216216216217,2
20,0.06960867463479693,0.042364803196480685,0.02250320934915099,0.06038341752842837,0.12799188494682312,0.4025900900900901,2
100,0.15476560681233972,0.15014378695664865,0.02049400410002606,0.08680809044458734,0.1343832015991211,0.6666666666666666,2
5,0.05861486486486486,0.012197220677191431,0.03346049174174174,0.05731458327652593,0.10381945222616196,0.1981981981981982,3
10,0.05853107571857572,0.022403338387642923,0.025559438938655213,0.05585426349361793,0.11550746858119965,0.2882882882882883,3
20,0.06954953719175855,0.0430172753266598,0.021206120940543194,0.05853697719042635,0.12248893827199936,0.38907657657657657,3
100,0.16313612101356428,0.15888748325183805,0.020007234401448633,0.08736999680341977,0.12903167307376862,0.6565315315315315,3
5,0.05824887387387387,0.013102242223458122,0.035172203453453454,0.0600643850678569,0.1162819042801857,0.20101351351351351,4
10,0.06094442656942657,0.025108083519860065,0.02711737344983873,0.05937716235570567,0.12939435243606567,0.29673423423423423,4
20,0.07101799663961042,0.044916487453615456,0.02260870483335147,0.06171605129038486,0.13707327842712402,0.40822072072072074,4
100,0.16361463920253166,0.15982442786251694,0.02150640529785712,0.09090741473122904,0.14404085278511047,0.6841216216216216,4
5,0.05452327327327327,0.011066038314882582,0.02927834084084084,0.05246873409935178,0.09583333134651184,0.19538288288288289,5
10,0.05725882132132132,0.02297824083428942,0.023295160239604682,0.05340243352389768,0.10845689475536346,0.2882882882882883,5
20,0.06490754173126465,0.04110157058754944,0.01941888093673276,0.05546889216323477,0.1162572130560875,0.40202702702702703,5
100,0.1715237960428638,0.16740731099566683,0.01957011510127682,0.08879190768186541,0.1231934130191803,0.6706081081081081,5
5,0.05442004504504505,0.011401173759729901,0.031152402402402402,0.05350745647815192,0.09721283614635468,0.18412162162162163,6
10,0.057172574360074356,0.023358484848253737,0.02437256922809998,0.053615663040706585,0.10954749584197998,0.2742117117117117,6
20,0.06542985460361621,0.04132950933548311,0.020199792240951198,0.05550816011661068,0.11653034389019012,0.3744369369369369,6
100,0.16119299553047564,0.1573900073529289,0.019400506554189727,0.08499067105373002,0.12341112643480301,0.6559684684684685,6
5,0.05595908408408408,0.011854275925786119,0.030183464714714718,0.054463831360762154,0.10185810178518295,0.20101351351351351,7
10,0.05880568068068068,0.021893084885399035,0.024072370982093205,0.05560477104998414,0.11486262828111649,0.29673423423423423,7
20,0.06511794810217798,0.03826047499211829,0.019693924995581157,0.05708435218441266,0.12225493043661118,0.40540540540540543,7
100,0.16066704443919544,0.15592361222226273,0.018935862655100246,0.08788539233543999,0.12932784855365753,0.6818693693693694,7
5,0.057244744744744745,0.013750246115141801,0.03363457207207207,0.05652806568281048,0.10175488144159317,0.19031531531531531,8
10,0.06243564993564994,0.02730034670230171,0.02660266310811946,0.057874089258056705,0.11607836186885834,0.29842342342342343,8
20,0.06989951441625203,0.045404853867809986,0.021831909828300244,0.05948271921706823,0.12449284642934799,0.42004504504504503,8
100,0.1636904488845019,0.15953444922422796,0.021469922661183673,0.08975602973620446,0.13089340925216675,0.6835585585585585,8
5,0.065990990990991,0.016240987153527082,0.039493712462462464,0.06485879581098683,0.11478979140520096,0.20833333333333334,9
10,0.06727330008580008,0.02743666513992336,0.030935561234420362,0.06379208166031024,0.12753355503082275,0.30349099099099097,9
20,0.07652305119652256,0.046898105617759756,0.02578349926041305,0.06566049945563852,0.13567230105400085,0.419481981981982,9
100,0.16374783662536674,0.15913130797983496,0.02350217962828718,0.0928091839284351,0.14206884801387787,0.678490990990991,9
