,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.04926900584795322,0.04663784441154546,0.02500558398310591,0.03713999136782222,0.04908625781536102,0.0983187134502924,0
10,0.0768152296249884,0.07591224576260622,0.0281539495163725,0.04749585153703163,0.056519702076911926,0.1558845029239766,0
20,0.12992251053839998,0.12966424430854634,0.03201157520066438,0.06322842663070173,0.06233293563127518,0.24232456140350878,0
100,0.3304129663877716,0.3304129663877716,0.03809530821387643,0.10788050698101724,0.06873185187578201,0.5056652046783626,0
5,0.053423489278752435,0.051300328871002006,0.027710820743989607,0.04000570902174857,0.05095639079809189,0.09941520467836257,1
10,0.08702224310776943,0.08636147212750847,0.03190213480819554,0.052480839210361695,0.05915077403187752,0.16173245614035087,1
20,0.13472986128381084,0.13460269621431298,0.035380501541489244,0.06698092109103099,0.06483682245016098,0.2450657894736842,1
100,0.33383495907772376,0.33383495907772376,0.04122947483938648,0.11080049910541814,0.07099398970603943,0.5051169590643275,1
5,0.048912646198830415,0.04628957010820578,0.026629253979857048,0.03852842717197516,0.05172392725944519,0.09667397660818713,2
10,0.0823682470064049,0.08114141000004384,0.03061172914788073,0.05087949221695565,0.05998046323657036,0.1599049707602339,2
20,0.13714629736324901,0.1367481674409082,0.0345860903282866,0.06698081961544519,0.06586094945669174,0.2465277777777778,2
100,0.3415333375427698,0.34152814063122006,0.04071819014145368,0.1122679910139096,0.07239042967557907,0.5148026315789473,2
5,0.05010660331384015,0.047563383015938536,0.024615162037037036,0.036875571991124165,0.04735014587640762,0.09777046783625731,3
10,0.08921689350691543,0.08819569730292688,0.02928485363748326,0.05120951712902174,0.0568055734038353,0.17105263157894737,3
20,0.14107961329928242,0.14075453312658504,0.033117259783081485,0.06664061928942804,0.062254466116428375,0.25219298245614036,3
100,0.3428425361861674,0.3428425361861674,0.03922409460030764,0.11150543760304381,0.0686248391866684,0.5166301169590644,3
5,0.05236963937621832,0.0500499422300973,0.027878035656270304,0.03938067981958531,0.04900706931948662,0.09484649122807018,4
10,0.08629327949503388,0.08529682564338043,0.03199208683635898,0.05197220549796735,0.05719834193587303,0.15698099415204678,4
20,0.13577022205190317,0.13535604094762535,0.03561649282699743,0.06669103693084814,0.06267745792865753,0.23830409356725146,4
100,0.34118608317850685,0.34116529553230796,0.04154955773807435,0.11173371728694735,0.06920953094959259,0.5137061403508771,4
5,0.05075840643274854,0.048815462574543216,0.026046133853151396,0.03804180590741967,0.048955287784338,0.09850146198830409,5
10,0.08366090283579318,0.08284954601213002,0.03020670484425901,0.05048331018604127,0.057262152433395386,0.1613669590643275,5
20,0.1293966994782107,0.12911274963752045,0.03358964464010862,0.0641520488942496,0.062290068715810776,0.2364766081871345,5
100,0.34103970214864976,0.34103450523710005,0.03978957350230948,0.11038621844366119,0.06895342469215393,0.5122441520467836,5
5,0.04604044834307992,0.04337043025055486,0.02436180149447693,0.03550236402498443,0.046957239508628845,0.09100877192982457,6
10,0.07866077230112317,0.07749818589362134,0.028435509518947282,0.0478805334023298,0.055188752710819244,0.15387426900584794,6
20,0.12947658848313517,0.12905355122551365,0.032148332623077674,0.06309080806241833,0.06110389903187752,0.23976608187134502,6
100,0.3329844907496513,0.3329792938381016,0.03820176582544002,0.10822106190668504,0.0676627978682518,0.5091374269005848,6
5,0.05042032163742689,0.04802310019170065,0.026861446150097463,0.038760384294847725,0.05071881040930748,0.09649122807017543,7
10,0.0852990404251369,0.08444371219889364,0.03117080810353706,0.051802017464309486,0.0593293122947216,0.16209795321637427,7
20,0.13619873506636598,0.13590510624889354,0.03490594274067154,0.06689633982103611,0.0646887794137001,0.24323830409356725,7
100,0.33973859719482535,0.33973859719482535,0.040869672406913034,0.11168382881541619,0.0711645856499672,0.5131578947368421,7
5,0.048568469785575046,0.04506911632838008,0.026779310834957767,0.0381255075228293,0.04970455542206764,0.09448099415204679,8
10,0.07961309523809523,0.07819239157255016,0.03030631652433553,0.04953809674934878,0.057631716132164,0.15369152046783627,8
20,0.12711396344998113,0.12657459405598917,0.0336154079708118,0.06375538679200093,0.06319259852170944,0.23574561403508773,8
100,0.33193539839937164,0.33193539839937164,0.03974957076511045,0.10939987804338731,0.06980859488248825,0.5074926900584795,8
5,0.049052753411306035,0.046135003799473204,0.02558824723846654,0.037577557678414954,0.04970455542206764,0.09758771929824561,9
10,0.08025191740926389,0.07914025314389103,0.02909104824312766,0.04900941352717047,0.057408131659030914,0.15789473684210525,9
20,0.12793685122632065,0.12759111704624648,0.03253697734020902,0.06327504643249701,0.06284195184707642,0.23793859649122806,9
100,0.3335039488439772,0.3335039488439772,0.038527467384654346,0.10873248387591022,0.06930693984031677,0.5109649122807017,9
