,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.036194152431011824,0.029008984340559072,0.019372946780551906,0.032720876297402744,0.059636443853378296,0.11153088042049934,0
10,0.05141711250860396,0.049226044094395335,0.019276622465492256,0.03831004302246739,0.06918971240520477,0.18331143232588698,0
20,0.07582316725055015,0.07548207000485803,0.02062801539069364,0.04706447471632672,0.07575958967208862,0.2780880420499343,0
100,0.15704490151778,0.15704490151778,0.023231605336646814,0.0718169875813454,0.08196311444044113,0.5321944809461235,0
5,0.03493758212877792,0.028359245755602044,0.018696433785954158,0.03202342099021244,0.06049605458974838,0.11251642575558475,1
10,0.050959603070312665,0.04897091714139047,0.018828663006607713,0.03826122164078321,0.07048728317022324,0.1885676741130092,1
20,0.07295176575024157,0.0726816359561412,0.020142082791442667,0.046144449012057574,0.0762644037604332,0.27135348226018396,1
100,0.1544622563240495,0.1544622563240495,0.022660298103358546,0.07074515074537552,0.08250902593135834,0.5298948751642576,1
5,0.03965177398160315,0.03242711815681468,0.021557754781719958,0.03541037206744349,0.062349431216716766,0.1185939553219448,2
10,0.05384551707235676,0.051791166425632904,0.02150390158770716,0.04071231131547901,0.07145901769399643,0.18610381077529567,2
20,0.07454561415160706,0.07423381697440115,0.02265597091087343,0.04838973348856621,0.07752998918294907,0.2736530880420499,2
100,0.1560306842559742,0.1560306842559742,0.025178014389002846,0.07256207818530565,0.08343031257390976,0.5195466491458607,2
5,0.03778471309680245,0.030370424473728872,0.020664741203095343,0.03433900756629804,0.06231110543012619,0.11645860709592641,3
10,0.05160770341864297,0.0492692111480156,0.020225388039335067,0.039257431114332136,0.07122227549552917,0.18429697766097242,3
20,0.07396336080252926,0.07358346839393623,0.021415905765542233,0.04728930003255831,0.07733331620693207,0.27250328515111694,3
100,0.1587830051982129,0.1587830051982129,0.024049567885750772,0.072534719894274,0.08363986760377884,0.5279237844940867,3
5,0.035997043363994743,0.02919685540722111,0.019353509636443274,0.03268464514633186,0.05997590720653534,0.11251642575558475,4
10,0.050894421500531875,0.04892597567073998,0.019383925141636445,0.038061817403569446,0.06859812885522842,0.1783837056504599,4
20,0.07244124426148114,0.07212136265184908,0.020578026497355677,0.045725602996266664,0.07432529330253601,0.260676741130092,4
100,0.15698129059400745,0.15698129059400745,0.023072883666166763,0.07044476619575026,0.08043787628412247,0.5185611038107752,4
5,0.03731384143670609,0.031044478283329246,0.019941916703168347,0.03303067574693902,0.058095160871744156,0.11054533508541393,5
10,0.0521051691592099,0.04995955836823073,0.020073055632738812,0.03881842077346325,0.06746423244476318,0.18199737187910645,5
20,0.07247404620380897,0.07208501044796888,0.02114985296100224,0.04648420472070543,0.073672354221344,0.2706964520367937,5
100,0.1519711098001667,0.1519711098001667,0.02360959614424751,0.07047665621785043,0.0794997438788414,0.5169185282522996,5
5,0.036511717038983794,0.02921154822912064,0.020115710322674844,0.0334685584355791,0.060999780893325806,0.11432325886990802,6
10,0.05112816260976576,0.048771612924432134,0.019969771555565816,0.038769623981691134,0.06998883932828903,0.18298291721419185,6
20,0.07174711844383796,0.07136604926061707,0.02106560966424575,0.046260975411250835,0.07594794780015945,0.2685611038107753,6
100,0.15447434313887676,0.15447434313887676,0.02362698552949965,0.07102588794769278,0.0821031853556633,0.5248028909329829,6
5,0.038649802890932984,0.031973499794554106,0.020693258139874434,0.03450228956118794,0.062163274735212326,0.115473061760841,7
10,0.05493815572659199,0.05284482961538373,0.020861732374241368,0.04042473937699312,0.0709981843829155,0.182161629434954,7
20,0.07444264702381466,0.07412749394699256,0.021832695976962396,0.0475535083696275,0.07672331482172012,0.2644546649145861,7
100,0.15972451056624792,0.15972451056624792,0.024427970129576888,0.07266980331862623,0.08291961997747421,0.5210249671484888,7
5,0.039350635129215945,0.03249893052592494,0.020345305884070665,0.03425328679558743,0.061068225651979446,0.11645860709592641,8
10,0.05353447062136287,0.051443539205501564,0.0200937890365179,0.039374098951411855,0.06991779804229736,0.18429697766097242,8
20,0.07379514216484524,0.07348098898584111,0.02116115722140939,0.046945232398641956,0.07595136761665344,0.2718462549277267,8
100,0.1520817802388694,0.1520817802388694,0.02365429227549938,0.07080101467944953,0.08182137459516525,0.5133048620236531,8
5,0.039528580814717475,0.032342659587229684,0.022115454810921302,0.03579593766243854,0.06373466551303864,0.11662286465177397,9
10,0.053070768933942386,0.050727815917357984,0.02164138690012677,0.040576757356612606,0.07243269681930542,0.1828186596583443,9
20,0.07361015924625554,0.07318294926273261,0.02264269680510918,0.048167523723681674,0.07862729579210281,0.2726675427069645,9
100,0.15501807637685444,0.15501807637685444,0.025220244626005927,0.07303331147925571,0.08486935496330261,0.5274310118265441,9
