,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0013410178886369363,0.0012680557129280015,0.0006029856386999243,0.0009155769844608287,0.0011873268522322178,0.002418745275888133,0
10,0.002873294820573732,0.0028435592909826003,0.0007774926885174159,0.00145464895782259,0.0015563624911010265,0.005328798185941043,0
20,0.005592202797106688,0.00558448020323363,0.0009527599057308644,0.002219422746928568,0.001891575986519456,0.010317460317460317,0
100,0.025306514017873354,0.025306514017873354,0.0013543505660735956,0.006417133685904373,0.0027158374432474375,0.054497354497354496,0
5,0.0009126984126984126,0.0008797871000251953,0.0004164357100865037,0.0006783864100443919,0.001075207837857306,0.001927437641723356,1
10,0.00279329985962639,0.002783164492348166,0.000640963605984932,0.0013244787564386036,0.0014573660446330905,0.0049130763416477706,1
20,0.005906857981709853,0.005904134357387588,0.0008367947560182938,0.002198263574765066,0.0018493469106033444,0.010770975056689343,1
100,0.025303600296186834,0.025303600296186834,0.0012280139713925632,0.006286369518283188,0.0026315650902688503,0.05264550264550265,1
5,0.0009322247417485512,0.0008598872987350076,0.00037009742168472317,0.0006306898298720858,0.0009145881049335003,0.001927437641723356,2
10,0.0028055825504805093,0.002777430891448669,0.0005859852633419202,0.0012635715603779812,0.0012913172831758857,0.004950869236583522,2
20,0.005589635502311098,0.005581895363280267,0.0007574114256951552,0.0020344126671910296,0.001620978000573814,0.0100151171579743,2
100,0.023873476781199488,0.023873476781199488,0.0011180956457406065,0.00593449169827839,0.0023889418225735426,0.051738473167044594,2
5,0.0012427563618039811,0.0011939478527528843,0.0006634122784916435,0.0008924391380799537,0.00102418742608279,0.00200302343159486,3
10,0.002999901018608501,0.0029779054232750807,0.0008899653650827929,0.0014937632294083323,0.0013609640300273895,0.0045351473922902496,3
20,0.005884125018177762,0.005878006245693953,0.0010798896597350638,0.0023064305180333115,0.0017034235643222928,0.009712773998488284,3
100,0.02588885898079245,0.02588885898079245,0.0014864986408777822,0.006570860894042157,0.0025458158925175667,0.05445956160241874,3
5,0.001326530612244898,0.0012733438613540655,0.0006094104308390023,0.0009051390753591055,0.0011230789823457599,0.002380952380952381,4
10,0.00352882158154267,0.0035098713487318927,0.0008795035104828864,0.0016727588918649251,0.0015946503262966871,0.0060090702947845805,4
20,0.006867647388482915,0.006861431158231381,0.0010936685866432358,0.002592107726987692,0.0019643825944513083,0.011602418745275888,4
100,0.02565229318225515,0.02565229318225515,0.0014790687001015714,0.006570251183305171,0.002733404515311122,0.052116402116402116,4
5,0.001254724111866969,0.0011901545009538207,0.0005197572856303015,0.0008074893648986392,0.0009366339072585106,0.0022675736961451248,5
10,0.0027353957455998274,0.002711790933304539,0.0006983554948812481,0.0013317680220296016,0.0012771598994731903,0.004950869236583522,5
20,0.006003198995689851,0.0059959289760899,0.0009079430616566932,0.002259919257657794,0.001687859185039997,0.01107331821617536,5
100,0.02477980183809356,0.02477980183809356,0.0012814266956847485,0.00618463330653117,0.002436283975839615,0.051322751322751325,5
5,0.0008616780045351474,0.0008024443480097439,0.00034706475182665655,0.0005419489040864526,0.0006456286646425724,0.0015117157974300832,6
10,0.0026821257603570525,0.002656893438853393,0.0005867306232142642,0.001195385190697821,0.0010495027527213097,0.0045351473922902496,6
20,0.005665788289443015,0.005661127821434033,0.0007808216978005925,0.0020335853304230584,0.0014058129163458943,0.009826152683295541,6
100,0.023690228143325505,0.023690228143325505,0.0011431376395593757,0.0058748558996088475,0.0021549430675804615,0.050642479213907785,6
5,0.0008251448727639204,0.000797430083144369,0.00035298563869992443,0.0005417948508809867,0.0006632652948610485,0.001436130007558579,7
10,0.00268644494834971,0.0026756224375271993,0.0005949101568905045,0.001198949565433988,0.001043443800881505,0.004346182917611489,7
20,0.005160497926586818,0.0051583677815995295,0.0007527985756603331,0.001907625187130456,0.0013601075625047088,0.009221466364323506,7
100,0.024236782133859755,0.024236782133859755,0.0011288795956740235,0.005931788539403933,0.0021346155554056168,0.05151171579743008,7
5,0.001467624086671706,0.0013917142728110512,0.000687830687830688,0.0010022711413789974,0.0011999245034530759,0.002494331065759637,8
10,0.003027570816686463,0.0029985810454941507,0.0008716588781309112,0.0015486270896769916,0.0015520132146775723,0.005328798185941043,8
20,0.005585339443237866,0.005577195071292313,0.001027869785219343,0.0022501805119204995,0.001837260671891272,0.009788359788359789,8
100,0.02413577728075237,0.02413577728075237,0.0013997877838689613,0.0062061285910752495,0.00261742458678782,0.05200302343159486,8
5,0.0012118921642731166,0.0011459831473308562,0.0004942470815486689,0.0007832881334405081,0.0009958427399396896,0.0021541950113378684,9
10,0.0027434942230860596,0.0027229080490856904,0.0006828118813663031,0.0013153742661955097,0.0013187471777200699,0.004686318972033258,9
20,0.006053315711951096,0.006048592989188328,0.0008966714233506131,0.002236120462582341,0.0016926820389926434,0.010317460317460317,9
100,0.026020696589368463,0.026020696589368463,0.0013155319425849088,0.006455363914274013,0.0024961417075246572,0.0526832955404384,9
