,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.006131975387226819,0.005607589948773907,0.0034599335172218683,0.005007612476711423,0.006280500907450914,0.011457670273711012,0
10,0.010692815212229598,0.01062916148848676,0.004448974299388049,0.006946805340754273,0.007019339129328728,0.01782304264799491,0
20,0.015118390874278844,0.015118390874278844,0.004696395880687698,0.008286375070068101,0.007669246755540371,0.028007638446849142,0
100,0.04656173711711586,0.04656173711711586,0.005640457848954515,0.01508155789492274,0.008949026465415955,0.07383831954169319,0
5,0.006757903670698069,0.00607893061744112,0.0049124761298535964,0.006653088298605692,0.009441968984901905,0.012730744748567792,1
10,0.014003819223424571,0.013749204328453215,0.007167821863875333,0.010262869897788148,0.010553130879998207,0.021005728835136857,1
20,0.01643996342436826,0.01643996342436826,0.007202363538283747,0.01107498082357063,0.011161859147250652,0.030553787396562698,1
100,0.05951938912632738,0.05951938912632738,0.008445148545753022,0.020206252068156315,0.012754174880683422,0.0916613621896881,1
5,0.007203479736897942,0.00665181413112667,0.004511811302072282,0.006139398032609563,0.007479312364012003,0.011457670273711012,2
10,0.014445858971638728,0.014318551524153053,0.006227826444249104,0.009636781744511772,0.008830439299345016,0.022278803309993635,2
20,0.01760707465672456,0.01760707465672456,0.006338591487768817,0.010543383646790243,0.009341667406260967,0.030553787396562698,2
100,0.051042226392321866,0.051042226392321866,0.00728274771609814,0.017732051710393267,0.010676388628780842,0.08211330362826226,2
5,0.004402715892213027,0.004026855809160074,0.003147323007284815,0.00400028150564416,0.0049331639893352985,0.007001909611712286,3
10,0.008040576722944642,0.008040576722944642,0.003745971123437705,0.005653968984474869,0.005720499902963638,0.01336728198599618,3
20,0.011393890252897255,0.011393890252897255,0.003996033135648612,0.006856752840909488,0.006344708614051342,0.023551877784850413,3
100,0.04681314600951774,0.04681314600951774,0.004988764512050927,0.014577078421914849,0.007895305752754211,0.08274984086569065,3
5,0.00734139613834076,0.006971598314691886,0.004865266284744324,0.00648127971521002,0.00834924727678299,0.0120942075111394,4
10,0.011491012700433451,0.011363705252947772,0.005755340682138899,0.008343632684008555,0.009203772991895676,0.019096117122851686,4
20,0.014169773574611258,0.014169773574611258,0.0058494476946174025,0.009236674769860473,0.009786279872059822,0.02864417568427753,4
100,0.04245531150368834,0.04245531150368834,0.006619897492904535,0.015415373381453124,0.010982008650898933,0.07702100572883513,4
5,0.006895820072140887,0.006556333545512413,0.003675825730249664,0.005320216598744575,0.006142584607005119,0.0120942075111394,5
10,0.010725652450668364,0.010598345003182685,0.004710956523496307,0.007098096860609575,0.006699554622173309,0.01718650541056652,5
20,0.015163731522738526,0.015163731522738526,0.00494800887765821,0.00851984947591451,0.007495433557778597,0.030553787396562698,5
100,0.04904162603080489,0.04904162603080489,0.005949130390460073,0.01585695633288378,0.008914840407669544,0.08338637810311904,5
5,0.006853384256312327,0.006404777060410415,0.004623735766320107,0.00613252392088263,0.007585401646792889,0.0120942075111394,6
10,0.009516736887838098,0.009516736887838098,0.005193133480848311,0.007337433536616742,0.00814666599035263,0.016549968173138127,6
20,0.015218797045658917,0.015218797045658917,0.0055656850474885555,0.009141691793901426,0.009016545489430428,0.030553787396562698,6
100,0.046026782468539314,0.046026782468539314,0.006438697151732872,0.016117468588747838,0.01048390381038189,0.08720560152768937,6
5,0.00603649480161256,0.005809160073959565,0.0038945469976660297,0.005351306991123841,0.006885210983455181,0.011457670273711012,7
10,0.010180049104301172,0.010116395380558335,0.005372391123505064,0.007528241851695707,0.007403029594570398,0.015276893698281349,7
20,0.014205263051539309,0.014205263051539309,0.005638261092323501,0.008815708901668265,0.007989178411662579,0.024824952259707194,7
100,0.05545590716660099,0.05545590716660099,0.0067873005335152775,0.01752822156587075,0.009604469873011112,0.08784213876511776,7
5,0.005643963505198388,0.005034706435088358,0.004239868448970931,0.005607564772135164,0.007797581143677235,0.010821133036282623,8
10,0.008857466177644407,0.008793812453901567,0.004888387068527107,0.007144819828399676,0.008535661734640598,0.016549968173138127,8
20,0.012407929435300537,0.012407929435300537,0.005062106462808625,0.008218656349562226,0.009071591310203075,0.025461489497135583,8
100,0.054268840997039595,0.054268840997039595,0.006201820504683281,0.016963273305104384,0.010671563446521759,0.08656906429026098,8
5,0.006131975387226819,0.005798551120002425,0.00337382417426975,0.0048225593165229265,0.0057924892753362656,0.010821133036282623,9
10,0.01115607286835804,0.011028765420872359,0.004889936312597039,0.007194123631134481,0.006438372656702995,0.015913430935709738,9
20,0.014878931627817686,0.014878931627817686,0.005057687147128019,0.008272821107041967,0.006926063448190689,0.0241884150222788,9
100,0.058223044195354824,0.058223044195354824,0.0062289669430988315,0.01743634852050339,0.008641297928988934,0.0910248249522597,9
