,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0006776527545021678,0.0005365551853554061,0.0002480182480780997,0.0004758819857308249,0.000733514316380024,0.0019152501795547043,0
10,0.0016527108010229866,0.0015713520819169411,0.0003488670847620652,0.0008349850032246839,0.0010548443533480167,0.004389114994812864,0
20,0.0027186187569489613,0.00267135527622159,0.0004077310063331603,0.0011789856660894824,0.0013205520808696747,0.008299417444737053,0
100,0.014729892126407528,0.014729892126407528,0.0006281716569984682,0.004021313170005431,0.002109713153913617,0.05310829143723565,0
5,0.0009988561700316548,0.0008531327950667987,0.0004436442068115518,0.0007225900539504414,0.0010527226841077209,0.0023142606336286013,1
10,0.0020616015139596658,0.0019577353662045705,0.0005542989402909658,0.0011271713212745696,0.0014699100283905864,0.005346740084590216,1
20,0.0032473482220632508,0.0031934833712646852,0.0006159764301442576,0.0014982887631927598,0.0017598462291061878,0.009695954033995691,1
100,0.016568247876193758,0.016568247876193758,0.0008615742918538015,0.004588165748619936,0.002591645810753107,0.05630037506982683,1
5,0.0007255340089910355,0.0005973768489230144,0.0002477633247324413,0.00048323825609203217,0.0007301890873350203,0.0019152501795547043,2
10,0.0015340685259287127,0.0014457216397305366,0.0003407954923339626,0.0008077464776105205,0.0010720713762566447,0.004349213949405475,2
20,0.0027137119372138132,0.0026602140113417445,0.0004023181767978829,0.0011642252392229185,0.0013368831714615226,0.008299417444737053,2
100,0.013528781671917975,0.013528781671917975,0.0006021197368053812,0.00373789885899117,0.0020706455688923597,0.04927779107812625,2
5,0.0009489798632724177,0.0007891611849823785,0.0003952641892550918,0.0006957939834077974,0.0010726731270551682,0.002553666906072939,3
10,0.0018696014835588692,0.0017656746000205353,0.00047871350856376556,0.0010466688170379765,0.0014651283854618669,0.005466443220812385,3
20,0.0029222153062135165,0.0028709118404287703,0.0005347896431158731,0.0013899823088047798,0.0017437629867345095,0.009616151943180912,3
100,0.014050409039295723,0.014050409039295723,0.0007403216002942876,0.004050646118558698,0.0025035603903234005,0.0517915569387918,3
5,0.0008040060649589018,0.0006429325170347435,0.0003323092065012103,0.0005972755214595587,0.0009656053152866662,0.0022344585428138216,4
10,0.001806947342020361,0.001712638965380066,0.00042705543389205046,0.000955336163464104,0.0013086749240756035,0.004828026494294151,4
20,0.0029867303985725594,0.002918521289807662,0.0004875204709313083,0.001328387165843942,0.0016167613212019205,0.009496448806958742,4
100,0.015710024045271415,0.015710024045271415,0.0007204080273460965,0.004290072762057012,0.0024240578059107065,0.05570185938871598,4
5,0.0008159763785811188,0.0006886188320231892,0.0003445011925979127,0.0005909979618433659,0.0008971085771918297,0.0020349533157768733,5
10,0.0013382525622171303,0.001259332179304707,0.0003806322791133318,0.0007973215617588194,0.0011734232539311051,0.0041098076769611365,5
20,0.002927936736966504,0.002879054622073357,0.0004724063211490325,0.0012959495114721455,0.0015103063778951764,0.009257042534514405,5
100,0.014103190861744861,0.014103190861744861,0.0006750202240053869,0.003999632986717601,0.0022835773415863514,0.05314819248264305,5
5,0.0005958556114170192,0.0004886486514313654,0.000222592415254613,0.00041716333054661223,0.0006470619700849056,0.001596041816295587,6
10,0.0015083703526365725,0.0014077786511121108,0.0003367921364539751,0.0008105610109256876,0.0010630461620166898,0.0046285212672572025,6
20,0.002383089992319104,0.0023316183542846343,0.00038429036781574495,0.001094755341164787,0.0012996377190575004,0.008060011172292714,6
100,0.014904880603438371,0.014904880603438371,0.0006091729751892278,0.00401867804304576,0.0021014960948377848,0.05406591652701301,6
5,0.0009436597238847657,0.0007857825897615522,0.0003262575479477562,0.00061443998482136,0.0008658528095111251,0.0023541616790359906,7
10,0.0017048196662752563,0.0016102728434056943,0.0003925786536162803,0.0008978349400818323,0.0011813085293397307,0.0046684223126645915,7
20,0.0030246453587620126,0.0029681180446574753,0.00046580534549134036,0.0013172994004364339,0.0014931162586435676,0.009257042534514405,7
100,0.015398162087169043,0.015398162087169043,0.0006968125955234439,0.004222257338356975,0.002303327899426222,0.054265421754049956,7
5,0.0010314420237810232,0.0009001898391739887,0.00042556681651725946,0.0007278144527610444,0.0010853084968402982,0.0024339637698507703,8
10,0.0019662823499309013,0.001885981075486198,0.0005154134413321628,0.0010741343340422915,0.0014310223050415516,0.005027531721331099,8
20,0.0028252754953771724,0.0027829983139911205,0.0005617859753161223,0.0013589158307061163,0.0016648684395477176,0.00853882371718139,8
100,0.015886613885112453,0.015886613885112453,0.0008037606025839846,0.004413178827718012,0.002482497366145253,0.05478413534434602,8
5,0.0007780703854440987,0.0006054518219114172,0.000285447645394976,0.0005477786593486637,0.0008419121732003987,0.0022743595882212114,9
10,0.0017695005275804895,0.0016475092476302825,0.00038707550248927633,0.0009160627211635881,0.0012125326320528984,0.005027531721331099,9
20,0.0028720103328835284,0.0028112812506827407,0.0004425377879984707,0.0012518728897765903,0.001476564910262823,0.008977735216662676,9
100,0.015100268587306774,0.015100268587306774,0.0006781762788470124,0.004152725574872289,0.0022770592477172613,0.05330779666427261,9
