,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0240915500596594,0.00476074100565916,0.011840582854250279,0.023159252818220427,0.04570452868938446,0.09860071591278881,0
10,0.028948496634796667,0.012534513649149677,0.009435868790152643,0.025445279631428078,0.05581872910261154,0.1740969736413928,0
20,0.03829487109101377,0.026108922911923398,0.00807047233028518,0.02924627617413233,0.06327066570520401,0.2834363813862675,0
100,0.1463597884161336,0.1463597884161336,0.011316163373967845,0.06868798712863702,0.070406973361969,0.5818418483566548,0
5,0.023050222366851073,0.004454455701723912,0.011046570488483927,0.02226198432034023,0.04545503854751587,0.09632281158477059,1
10,0.027665948687751487,0.011956570839769032,0.00858969534228704,0.024107023079800054,0.05444514378905296,0.1653107712333225,1
20,0.040057720103011216,0.02805202074423862,0.007569655439534472,0.028922465110737636,0.06252682209014893,0.2847380410022779,1
100,0.1500785527362015,0.1500785527362015,0.011241515462877168,0.0694687768166293,0.06987203657627106,0.584119752684673,1
5,0.023733593665256538,0.005309242606238038,0.011804244856636656,0.02291599666763588,0.04562317207455635,0.09274324764074195,2
10,0.030089902323875643,0.014488446618902395,0.009599832367050302,0.02559375062785751,0.05549679696559906,0.1679140904653433,2
20,0.04091838412619177,0.028341259062957355,0.008530999891567175,0.03013884384086944,0.06295785307884216,0.27920598763423365,2
100,0.14400580053776352,0.14400580053776352,0.011353992788505244,0.06795324620234326,0.07025621086359024,0.5834689228766677,2
5,0.026212170517409695,0.0060357059228031565,0.013320497523231008,0.025639708665062235,0.05128538981080055,0.10445818418483567,3
10,0.028894002551666072,0.013068190448681263,0.010244298844026889,0.026179113581132934,0.05938125029206276,0.16758867556134072,3
20,0.03820630760514135,0.026101777141658244,0.008730381225664238,0.029631693244480395,0.0666138306260109,0.2746501789781972,3
100,0.14267712806131008,0.14267712806131008,0.011913524877288329,0.06831144583394379,0.07395333051681519,0.58249267816466,3
5,0.02288751491484977,0.005029060516108445,0.011109664822648878,0.021726095279660115,0.04242325574159622,0.09144158802473153,4
10,0.029010222160238432,0.013000425109498151,0.009164508763696387,0.024744544131327376,0.05222328379750252,0.1666124308493329,4
20,0.03737436669008111,0.02522412396109299,0.007948896976569102,0.028456617539300372,0.059732381254434586,0.2766026684022128,4
100,0.1402104721489364,0.1402104721489364,0.011052549923644028,0.06637402795092706,0.06685575097799301,0.5750081353726001,4
5,0.022366851068445607,0.004402739506384726,0.011675344397440071,0.02257066337779023,0.0471905842423439,0.09371949235274976,5
10,0.028400844012624035,0.01369191306193239,0.009184772943779963,0.024614762183408263,0.056018758565187454,0.16108037748128864,5
20,0.037172330457789345,0.02611399212603053,0.007687462100836901,0.02797186606072938,0.06366889923810959,0.2746501789781972,5
100,0.1366196576520183,0.1366196576520183,0.010446728201922122,0.06489938551300216,0.07087868452072144,0.5759843800846078,5
5,0.02257294717431392,0.004950256402589953,0.010811729399428717,0.021685297201971546,0.044093720614910126,0.09371949235274976,6
10,0.025667875350595816,0.011288941399715927,0.008324630698358095,0.023052380721399923,0.05303294584155083,0.16140579238529124,6
20,0.03629493809641939,0.02520884129716907,0.007305464002975444,0.027215005327642126,0.06039709225296974,0.27107061503416857,6
100,0.13874186646376377,0.13874186646376377,0.010658535944623538,0.06633561300268864,0.06779631227254868,0.5772860397006183,6
5,0.02364139277578913,0.004856573054054525,0.011377589760277687,0.022566411065185882,0.044549304991960526,0.097624471200781,7
10,0.029565493623417476,0.013710320217854524,0.009182636870418703,0.025269561376448254,0.05482685938477516,0.1750732183534006,7
20,0.040032788756038995,0.02763164532877875,0.008100263802910755,0.02981338901042525,0.06283166259527206,0.2909209241783274,7
100,0.14740791177968818,0.14740791177968818,0.011507695044697841,0.06937094399628431,0.0700344666838646,0.5958346892287667,7
5,0.025089489098600714,0.005627745556456342,0.012263622229453666,0.023657351831946692,0.045216403901576996,0.09925154572079402,8
10,0.0316233554925387,0.014757075705951923,0.010284851954666236,0.026621193231169064,0.05482802167534828,0.17181906931337454,8
20,0.037473589617386234,0.02526254209551552,0.008723556003116271,0.029130078608695455,0.06165711581707001,0.27269768955418155,8
100,0.1417231160722394,0.1417231160722394,0.011732351023350115,0.06664979258083974,0.06884585320949554,0.5779368695086234,8
5,0.025149148497667858,0.005365863374749848,0.012195465885670897,0.024507904666786012,0.05037964880466461,0.10575984380084608,9
10,0.02980464775127971,0.01411747523311751,0.009638016196463036,0.026145943679756874,0.05920175462961197,0.17246989912137975,9
20,0.041104630029378086,0.029123572554953917,0.008408603363003725,0.030674993582322566,0.06766241788864136,0.29677839245037424,9
100,0.14837620790709738,0.14837620790709738,0.011696157910812792,0.06996047817961688,0.0747227892279625,0.5968109339407744,9
