,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.011728395061728394,0.008969630077984517,0.005433969322858211,0.010223541376066828,0.02028619684278965,0.03984287317620651,0
10,0.018798434076211856,0.017554963029962137,0.005607151764559171,0.012631153360812216,0.023770330473780632,0.06790123456790123,0
20,0.04371537973280371,0.04313700287542669,0.007197567130024605,0.02114828881017221,0.029175495728850365,0.14927048260381592,0
100,0.1967077031546168,0.1967077031546168,0.011599983840870524,0.05995718981308831,0.03599199652671814,0.4405162738496072,0
5,0.012869435091657314,0.009908475477758567,0.005432566404788626,0.010365185111946132,0.018499813973903656,0.04040404040404041,1
10,0.02219082357971247,0.02085161752336506,0.005982510288065844,0.013592896935558096,0.021757476031780243,0.06846240179573512,1
20,0.04756013587595662,0.04701998912250166,0.00749877139584007,0.02175924368075534,0.02667481265962124,0.14534231200897868,1
100,0.20197839056107655,0.20197839056107655,0.011699475378733322,0.05934350434429327,0.032961711287498474,0.42536475869809204,1
5,0.012224092779648334,0.009741919214944803,0.005308797855094152,0.010208178550649831,0.019360268488526344,0.0409652076318743,2
10,0.01994348244348244,0.018221223788628272,0.005890182443680386,0.013571861195691863,0.023743387311697006,0.07519640852974187,2
20,0.04258687567302614,0.041981262605725655,0.00731581224628117,0.021134806692569022,0.02826562151312828,0.143658810325477,2
100,0.19280557391738315,0.19280557391738315,0.0114306227033373,0.05827564072214635,0.03461407870054245,0.42536475869809204,2
5,0.00878226711560045,0.006264950002614675,0.0037475059234318496,0.007663462070121798,0.014973812736570835,0.03423120089786756,3
10,0.015810441273404238,0.014377085866426047,0.004222904629283231,0.010688427463948994,0.019176330417394638,0.06734006734006734,3
20,0.03875786703639535,0.03828744572276118,0.00565968836693624,0.018362911694932187,0.024061299860477448,0.14029180695847362,3
100,0.192838421028677,0.192838421028677,0.00997988188900361,0.05719148100057967,0.030508626252412796,0.43490460157126826,3
5,0.011045641601197156,0.008062400953780637,0.005054557924928296,0.009666387903601602,0.019397679716348648,0.03872053872053872,4
10,0.020828656939768053,0.019149732778871796,0.0056634639556450254,0.01303189220365575,0.023037249222397804,0.06734006734006734,4
20,0.04300601017844401,0.042437823456831385,0.00716032855225271,0.020667973778188065,0.027790142223238945,0.14029180695847362,4
100,0.20013272202310015,0.20013272202310015,0.011698669761812297,0.0606309076168585,0.03484610840678215,0.4399551066217733,4
5,0.011485222596333706,0.008758402351562935,0.0053653822172340685,0.010038345632890015,0.01944444514811039,0.03872053872053872,5
10,0.02200309978087756,0.020505920356344534,0.0061154114137653235,0.014059280024590769,0.023869650438427925,0.07351290684624018,5
20,0.04994277370711996,0.049257398786981495,0.007823412520577264,0.022857793896472436,0.028727693483233452,0.14927048260381592,5
100,0.1852791676470731,0.1852791676470731,0.011818375540259211,0.058494465685295365,0.03514368459582329,0.4298540965207632,5
5,0.015366629255518145,0.011781571575240627,0.006255144032921811,0.011853502947633057,0.020389078184962273,0.04601571268237935,6
10,0.02192894554005665,0.019987548825712697,0.00649307844266692,0.014579530090405324,0.024595603346824646,0.07856341189674523,6
20,0.0462116328098779,0.04545104174408503,0.008019279902113638,0.02263613368781899,0.029271768406033516,0.14983164983164984,6
100,0.18364478147928354,0.18364478147928354,0.011845328644643759,0.05788104285691133,0.03505421802401543,0.4186307519640853,6
5,0.01587167976056865,0.01289426592458122,0.006229579748098267,0.01187106926176372,0.021043771877884865,0.045454545454545456,7
10,0.022252507437692626,0.020220195234738662,0.006468490262214542,0.014567159254817687,0.024835212156176567,0.07575757575757576,7
20,0.041365329499769884,0.04056834571158616,0.007486466859811881,0.020919353783560718,0.029224829748272896,0.1419753086419753,7
100,0.19543908138622432,0.19543908138622432,0.011680783901705084,0.05994897192961773,0.03587229549884796,0.44276094276094274,7
5,0.014047886270108494,0.010447626482689298,0.006257014590347924,0.012039950128970273,0.023784136399626732,0.04713804713804714,8
10,0.022411727504320095,0.020451213644188438,0.006346547732864605,0.014947865587735693,0.028154784813523293,0.08080808080808081,8
20,0.04513665225263926,0.04438915618823289,0.007663951478244886,0.02258316464934614,0.03314247727394104,0.15432098765432098,8
100,0.1838889698683779,0.1838889698683779,0.011637129955764275,0.0585470129908138,0.039327800273895264,0.43153759820426485,8
5,0.01324354657687991,0.010445112015147612,0.005588134430727023,0.010659040639203877,0.01968761533498764,0.0409652076318743,9
10,0.018763695152584043,0.016776841245701113,0.005746294267384802,0.013201706443220197,0.023742273449897766,0.07295173961840629,9
20,0.05086009965845473,0.05007760698802698,0.0076696374726600925,0.023469193467966023,0.02999776042997837,0.16835016835016836,9
100,0.19280067424713657,0.19280067424713657,0.011731646971423523,0.05933928935090702,0.03595469519495964,0.4332210998877666,9
