,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.00524043085208694,0.003878544935028753,0.002280166057575175,0.00418632054705562,0.007055202499032021,0.01673398730525101,0
10,0.007653555170866191,0.006878936275718245,0.002326378266679286,0.005374240604964147,0.009263869374990463,0.03375649163300635,0
20,0.015520868243955323,0.015244388046584578,0.0027892363821786083,0.00822351053453401,0.011400382965803146,0.06560877091748413,0
100,0.08800834798738338,0.08800834798738338,0.004496955436217721,0.02728596972525221,0.015673667192459106,0.2746105020196192,0
5,0.005245239469128679,0.0038260597928088365,0.0024547829710841827,0.004446138690649501,0.007949605584144592,0.0172533179457588,1
10,0.00781560556517279,0.0070236526988369866,0.0024637586473327555,0.0056094355650609115,0.010042751207947731,0.033583381419503754,1
20,0.015546872274477366,0.015303098803763208,0.002887988708865383,0.008399325213536365,0.012191088870167732,0.06578188113098672,1
100,0.08806124870628394,0.08806124870628394,0.004600487126260026,0.027342731199506615,0.016468089073896408,0.27466820542412,1
5,0.0058982496633968075,0.004507148749824517,0.002751282297877797,0.004773213959258787,0.007867859676480293,0.01817657241777265,2
10,0.008809180336877971,0.008004868585215546,0.002855723633622199,0.006111804495539027,0.010136449709534645,0.035833814195037506,2
20,0.016457754015890644,0.016194069206688238,0.0032720889842131643,0.00886897246894424,0.012346174567937851,0.06878245816503174,2
100,0.09326590954274491,0.09326590954274491,0.00509682328913544,0.028873102765729543,0.016724789515137672,0.28216964800923255,2
5,0.005975187536064628,0.004543342720917733,0.0024425209976277487,0.0045351508025630715,0.007461050525307655,0.018003462204270054,3
10,0.008723289277241959,0.007889622482820238,0.002570002178597925,0.005845576111418735,0.009641850367188454,0.034564339296018466,3
20,0.016115703657442602,0.01587254900091361,0.0029931441555786868,0.00851255788330084,0.011770647950470448,0.06572417772648587,3
100,0.09212437655398405,0.09212437655398405,0.004749223653825925,0.02818376216536385,0.016097676008939743,0.27882285054818234,3
5,0.005319292171571456,0.003793070240102902,0.002721084182855677,0.004745180329349109,0.0086507024243474,0.017830351990767455,4
10,0.00811506791599117,0.007257204960508745,0.002783807249257336,0.0060298614989964154,0.010853277519345284,0.03479515291402193,4
20,0.016708800286114364,0.016399881061337374,0.003262084408344664,0.009103692513578324,0.013170821592211723,0.0691863819965378,4
100,0.0923650111774231,0.0923650111774231,0.005046754051392737,0.028622844135537548,0.017349177971482277,0.2747259088286209,4
5,0.004891325254856703,0.0035234285681396004,0.002122475476053087,0.0039860055024403505,0.006916714832186699,0.016156953260242354,5
10,0.007824375566729864,0.006984327526400067,0.0022565124321832337,0.005368212651334238,0.009156819432973862,0.03341027120600115,5
20,0.016068165810577278,0.015774819756797974,0.0027450290088027397,0.008386200925586411,0.01150002796202898,0.06849394114252741,5
100,0.09005858248092298,0.09005858248092298,0.004505985923026401,0.027753865540799737,0.015763001516461372,0.27576457010963645,5
5,0.005631852279284477,0.004135952658302314,0.002654003975123421,0.00469731475157323,0.008169840089976788,0.017657241777264857,6
10,0.008243847260004215,0.007372486106030195,0.0026769804505546954,0.00593381520884622,0.010405206121504307,0.03479515291402193,6
20,0.016101485275772782,0.01579603347447659,0.003087941562588722,0.008772332356386027,0.012638639658689499,0.06826312752452394,6
100,0.08960998806691763,0.08960998806691763,0.004844075136028693,0.028115108038971923,0.01695418544113636,0.2762261973456434,6
5,0.005241392575495287,0.0037527337265936015,0.0022633198692056165,0.004228298370949345,0.0072619738057255745,0.017657241777264857,7
10,0.008177053279476824,0.007354843701731885,0.002346271711651043,0.005530224817668901,0.009463129565119743,0.03479515291402193,7
20,0.01584968405605948,0.015605736286437091,0.0027650657784775664,0.008275427115525156,0.01160652656108141,0.06635891517599539,7
100,0.08965231038138327,0.08965231038138327,0.004508779260100072,0.02751792213132337,0.01588626578450203,0.27432198499711485,7
5,0.00567416810925178,0.004244081291097457,0.0025339007501442583,0.004563556360247742,0.007681285962462425,0.01777264858626659,8
10,0.008437130766905722,0.007619646719634225,0.002647219309065337,0.0058438345938605,0.009722566232085228,0.034045008655510675,8
20,0.016390870811101212,0.01613281329786879,0.003090998684602126,0.00870248457895489,0.011985782533884048,0.06728216964800923,8
100,0.08929162576012986,0.08929162576012986,0.004840143803181,0.0278383421410359,0.01626294106245041,0.2725908828620889,8
5,0.005301019426812849,0.003760144826116375,0.0022916586523049304,0.004250426928488451,0.0073571838438510895,0.01684939411425274,9
10,0.008222551955962228,0.007310590566201783,0.0023674366232997015,0.0055666316816026995,0.009596557356417179,0.03387189844200808,9
20,0.015669593424776904,0.015351154951495971,0.0027554885261656835,0.008255790240981525,0.011837850324809551,0.06647432198499711,9
100,0.0910379499404671,0.0910379499404671,0.0045253854919583576,0.02782293237206187,0.016111422330141068,0.27478361223312175,9
