,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0006906077348066298,0.0006906077348066298,0.00017265193370165745,0.0004644407079312637,0.0006906077614985406,0.0027624309392265192,0
10,0.007596685082872928,0.006457218402350809,0.0011263483293870035,0.004297922701618526,0.005669560749083757,0.03867403314917127,0
20,0.010115759010786634,0.008902941010448813,0.001413929798998133,0.005838545608616545,0.007134118117392063,0.058011049723756904,0
100,0.10698698682043901,0.10698698682043901,0.003442524892234348,0.02811905417436158,0.012046410702168941,0.2955801104972376,0
5,0.0011049723756906078,0.00027624309392265195,0.00027624309392265195,0.0008070074576945108,0.0013812155229970813,0.0055248618784530384,1
10,0.00585043409629045,0.004679576155095302,0.0008599710602473033,0.003545327895637767,0.005452512297779322,0.03591160220994475,1
20,0.008953784091905639,0.008142951436912191,0.0010743431514367834,0.005444860760826137,0.007730873767286539,0.06629834254143646,1
100,0.09688267785468374,0.09688267785468374,0.002901544518180946,0.02641669814430506,0.01203567162156105,0.281767955801105,1
5,0.0006906077348066298,0.0006906077348066298,0.00017265193370165745,0.0004644407079312637,0.0006906077614985406,0.0027624309392265192,2
10,0.004488950276243094,0.004488950276243094,0.0006412786108918705,0.0023682726723895015,0.002703235950320959,0.019337016574585635,2
20,0.007899237042883452,0.0078042784793475395,0.0009603017500320069,0.004184473564658278,0.004681822843849659,0.04696132596685083,2
100,0.08316516556527462,0.08316516556527462,0.002645009063165415,0.023288298581678607,0.009055090136826038,0.2569060773480663,2
5,0.0012430939226519338,0.0008287292817679558,0.00031077348066298346,0.000867944436778519,0.0013812155229970813,0.0055248618784530384,3
10,0.0049526440410418305,0.004200841388877205,0.0007728229413312286,0.0029608451141121565,0.004383714869618416,0.027624309392265192,3
20,0.008255760867883063,0.007780498985388852,0.0010517411542098096,0.004693037207611622,0.006139182485640049,0.052486187845303865,3
100,0.10279794842411259,0.10279794842411259,0.003077197573039238,0.02709010986891073,0.01124599389731884,0.3011049723756906,3
5,0.0,0.0,0.0,0.0,0.0,0.0,4
10,0.004350828729281768,0.003913443830570902,0.0005837279663246513,0.00237080360274498,0.002986056264489889,0.022099447513812154,4
20,0.007099266962770375,0.006359386762622397,0.0007708160696054748,0.004050947153452006,0.005540118552744389,0.058011049723756904,4
100,0.08477471958674868,0.08477471958674868,0.0024977534690550415,0.023627533720767143,0.009885618463158607,0.26519337016574585,4
5,0.0012430939226519338,0.0008287292817679558,0.00031077348066298346,0.000867944436778519,0.0013812155229970813,0.0055248618784530384,5
10,0.003660220994475138,0.003277247614264189,0.000611681136543015,0.002209327931425524,0.0032359904143959284,0.019337016574585635,5
20,0.0068350820991379966,0.006339530544561759,0.0008860014280857378,0.003998059665029919,0.005362633615732193,0.049723756906077346,5
100,0.08628450247283279,0.08628450247283279,0.0026310078704232073,0.023146324294525025,0.009296340867877007,0.24861878453038674,5
5,0.0,0.0,0.0,0.0,0.0,0.0,6
10,0.0036602209944751386,0.003202991045913507,0.00046862667719021307,0.0019757029659074627,0.002426992869004607,0.019337016574585635,6
20,0.005953735085194299,0.00522364210281363,0.0006707580373830821,0.0034442390992531417,0.004230435471981764,0.04419889502762431,6
100,0.09581049934201182,0.09581049934201182,0.002625428048689007,0.025419009767968924,0.00964728370308876,0.3011049723756906,6
5,0.0019337016574585634,0.0015193370165745858,0.00048342541436464085,0.0013323851447097825,0.002071823226287961,0.008287292817679558,7
10,0.005830702446724546,0.005500047834301977,0.0009388976585109182,0.003438391973870007,0.004821099806576967,0.03038674033149171,7
20,0.009788252317501587,0.009451749817002027,0.0013434801832164268,0.005528910869380179,0.007014711387455463,0.06077348066298342,7
100,0.08578680799115912,0.08578680799115912,0.0030493612468171956,0.02436201891576869,0.011191724799573421,0.27348066298342544,7
5,0.0012430939226519338,0.0008287292817679558,0.00031077348066298346,0.000867944436778519,0.0013812155229970813,0.0055248618784530384,8
10,0.006422651933701658,0.0060919973212790884,0.001012891344383057,0.0036610988712103792,0.004880294669419527,0.03038674033149171,8
20,0.008872665088134701,0.008723295006098872,0.0012530082837585018,0.004933708110872771,0.00621450413018465,0.04696132596685083,8
100,0.08366337225658635,0.08366337225658635,0.002955178640199751,0.02330970614255204,0.010385890491306782,0.2430939226519337,8
5,0.0,0.0,0.0,0.0,0.0,0.0,9
10,0.007211917916337806,0.006722214249838559,0.0009224546172059984,0.0038265448182050795,0.00453827902674675,0.03591160220994475,9
20,0.00819327731092437,0.007577831393003403,0.0009883354106623523,0.0044949425226408395,0.005546617321670055,0.049723756906077346,9
100,0.08386151124265606,0.08386151124265606,0.0025052423096736717,0.022904527328325083,0.010058771818876266,0.26795580110497236,9
