,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.004337631887456038,0.0016855438116426657,0.0020281359906213366,0.003928031536895748,0.007581086829304695,0.015240328253223915,0
10,0.006220807979307393,0.004428305467491008,0.0015980479726083476,0.0044299454595268465,0.009156990796327591,0.028722157092614303,0
20,0.00828806055031379,0.007097736150144049,0.0013390956838947269,0.0051704947069750005,0.01120127085596323,0.05920281359906213,0
100,0.04054647361400722,0.04054647361400722,0.0020285903446632357,0.014568987835546311,0.01332954503595829,0.16295427901524032,0
5,0.0037514654161781946,0.0012522884513945776,0.001469323954669793,0.0031585210122097706,0.006017975974828005,0.014654161781946073,1
10,0.006509704311580044,0.004698274143668185,0.0013843995980572768,0.00413215809796236,0.007917899638414383,0.029308323563892145,1
20,0.009810232016028167,0.008734782060651015,0.001317371073465481,0.005315139414625202,0.009940145537257195,0.059788980070339975,1
100,0.041982493032147274,0.041982493032147274,0.00202803244141938,0.014723805982099034,0.012294502928853035,0.17584994138335286,1
5,0.0029308323563892145,0.0006089174635098459,0.0014810472840953496,0.003033877429368954,0.006779992487281561,0.013481828839390387,2
10,0.004904492082100522,0.003301114956830949,0.0011944098120338837,0.00379122180932599,0.009174435399472713,0.03223915592028136,2
20,0.00871461074421215,0.007798060670124965,0.0011679252564152213,0.004920564450368932,0.010704661719501019,0.05509964830011723,2
100,0.04018637610714446,0.04018637610714446,0.0018296477454696311,0.013957255902857207,0.012967498041689396,0.16354044548651817,2
5,0.003771004298554123,0.0010569823250367737,0.0019226260257913246,0.003871226256538693,0.008753418922424316,0.016412661195779603,3
10,0.004272269673793706,0.002318161686724662,0.0013822441181761229,0.004056460346629365,0.010702189989387989,0.031066822977725676,3
20,0.006973277736410225,0.0058245351485074525,0.0012020416607464142,0.004884370035558369,0.012262312695384026,0.05451348182883939,3
100,0.04169918514275609,0.04169918514275609,0.0018905557682737171,0.014721366312056018,0.014888672158122063,0.17702227432590856,3
5,0.0044353262993356785,0.002773269786335091,0.0016139116842516605,0.003267990787344431,0.0059398203156888485,0.012895662368112544,4
10,0.0050552206032862534,0.003854700413027891,0.0013470922214572079,0.0035835614769154254,0.007329871878027916,0.023446658851113716,4
20,0.01025423023413634,0.00941270634605363,0.0014902536095939877,0.005490219268539751,0.009545350447297096,0.05568581477139507,4
100,0.04777120764624346,0.04777120764624346,0.0022191449547180647,0.015792081477483056,0.012112148106098175,0.18229777256740914,4
5,0.004474404064087535,0.001083538962000213,0.0022645564673700663,0.004515341842330679,0.00983782671391964,0.01875732708089097,5
10,0.007467109548000521,0.005204365904027194,0.0018587137212576837,0.005478259296997011,0.012623513117432594,0.04044548651817116,5
20,0.010449260689239601,0.009186453496152486,0.0016346174561975922,0.006221767456219101,0.014140132814645767,0.06213364595545135,5
100,0.048521313001621234,0.048521313001621234,0.0023125641798968015,0.01666925793169547,0.016903111711144447,0.19167643610785462,5
5,0.004279015240328253,0.0009934597867586401,0.002278233685033216,0.004576257205753169,0.01062915287911892,0.019343493552168817,6
10,0.004988695360911071,0.0028277232145912544,0.001633856334422962,0.004647383401410684,0.012226920574903488,0.03223915592028136,6
20,0.00856880272911926,0.007382471805553584,0.0014121873344256073,0.005685499019011665,0.014186054468154907,0.0615474794841735,6
100,0.0449008429688942,0.0449008429688942,0.0020136680075339528,0.015603882499441508,0.016845380887389183,0.18640093786635403,6
5,0.0032043767096522078,0.0019333206590703847,0.000996483001172333,0.0021878471056156357,0.003614693181589246,0.00996483001172333,7
10,0.005741407543869443,0.004482334583334292,0.0010976535766492779,0.0033915159680049873,0.0057669938541948795,0.02637749120750293,7
20,0.008787656745556201,0.007715684051744139,0.001184224445290757,0.004710708592650302,0.0074523561634123325,0.05158264947245018,7
100,0.049780951273023975,0.049780951273023975,0.0021633098506071364,0.016032034927146444,0.010256679728627205,0.17819460726846426,7
5,0.0053536537710042985,0.002619819125938781,0.002268464243845252,0.004503161864497439,0.008782727643847466,0.017584994138335287,8
10,0.007046558365432925,0.005091621731560582,0.001897695859204261,0.005167772626055418,0.010805468074977398,0.03341148886283705,8
20,0.00909594020672567,0.007746156788437714,0.0017394159137930289,0.005962092906255832,0.012396187521517277,0.05744431418522861,8
100,0.046711920230990044,0.046711920230990044,0.002492118774668866,0.016392602375691952,0.015001040883362293,0.17995310668229778,8
5,0.002403282532239156,0.0006729262440496315,0.001047284095349746,0.002177638980803118,0.004239937756210566,0.009378663540445486,9
10,0.004792143508438936,0.003288655530626867,0.0010186580819640607,0.003251098960860224,0.006334319245070219,0.02637749120750293,9
20,0.00783236644168649,0.006814870740191757,0.0010035599466217226,0.004377341280064996,0.007956945337355137,0.05216881594372802,9
100,0.03991975020716238,0.03991975020716238,0.0016626718368300262,0.01346233138868444,0.010151863098144531,0.16060961313012895,9
