,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0008086253369272236,0.00022394731875033985,0.00025279751694846036,0.0006205609935237755,0.001074083149433136,0.003430531732418525,0
10,0.002433363282419886,0.002042496756637227,0.00042212654072492343,0.0012383066149655828,0.0016176396748051047,0.0078412153883852,0
20,0.004097349270423465,0.0038364832503612707,0.000474848794580497,0.0017322664799775639,0.002075278665870428,0.014702278853222249,0
100,0.009064361514101149,0.009064361514101149,0.0005545769169051934,0.0029717471679552594,0.0026734585408121347,0.0431266846361186,0
5,0.0018296169239565465,0.0010431856643302684,0.0008735604018622888,0.0014691057068236335,0.0021114107221364975,0.006125949522175937,1
10,0.0030054102830383155,0.002455518639733846,0.0009631840157446626,0.0019450793594157968,0.0027118511497974396,0.01078167115902965,1
20,0.004395755566134343,0.0040089776950646425,0.000981243234704586,0.0023755329998527085,0.003202329855412245,0.018132810585640775,1
100,0.009580578239108632,0.009580578239108632,0.0010483124282682124,0.0036157752709586265,0.0038109971210360527,0.04582210242587601,1
5,0.0019031283182226577,0.0011535941917934392,0.0005027362574532386,0.0012175564536080947,0.0017846934497356415,0.006370987503062975,2
10,0.0033148193525552017,0.0025130266108076334,0.0006562318085229136,0.0019466167656296185,0.0027178796008229256,0.0137221269296741,2
20,0.004847923942831022,0.004354896942372246,0.0006896642621904785,0.002423356507590108,0.003323683049529791,0.022298456260720412,2
100,0.008804286709079722,0.008804286709079722,0.0007026149089270438,0.0034531802818793815,0.0039356364868581295,0.05121293800539083,2
5,0.0027934329821122277,0.001694129016357913,0.0009915870293228785,0.0018376556677597055,0.0024095403496176004,0.007106101445724087,3
10,0.005460846431196836,0.0046654022653244065,0.001184959594663099,0.002833959572365875,0.0034440476447343826,0.015437392795883362,3
20,0.006861646888601067,0.006304844225952589,0.0011976902611207701,0.003193129279703087,0.003766935085877776,0.020338152413624112,3
100,0.011665562110575897,0.011665562110575897,0.001204047139510791,0.004346914316594546,0.004356944002211094,0.046067140406763046,3
5,0.0013395409621824717,0.0007519623997242544,0.0005325492117944949,0.0009622514130412304,0.0013232050696387887,0.004165645675079637,4
10,0.0027770971167197585,0.0021777316871468763,0.0006676507080819749,0.0016239716427049343,0.002151278080418706,0.011026709139916687,4
20,0.004859516045499873,0.004465374271129551,0.0007471756047363729,0.002171629034719644,0.002584857866168022,0.017397696642979663,4
100,0.008890920712126155,0.008890920712126155,0.0008013803370254244,0.00326103265817538,0.003277350915595889,0.04631217838765009,4
5,0.0016009148084619783,0.0007487715764565208,0.0004304500530915626,0.0010143814146027091,0.0013681288110092282,0.005145797598627788,5
10,0.004292248631871273,0.0036113409984555576,0.0006905111959020316,0.002071776045937149,0.002331264317035675,0.013477088948787063,5
20,0.006008277436848866,0.00551693071510085,0.0007385884064446389,0.0025833154760592668,0.0028039407916367054,0.020338152413624112,5
100,0.010975842004002449,0.010975842004002449,0.0007920245833362515,0.003885788686382992,0.003519144607707858,0.0529282038716001,5
5,0.0014416401208854038,0.0006303360034409113,0.0005011026709139917,0.0010590058455787223,0.001576411072164774,0.004655721636853712,6
10,0.0036497045931008195,0.0030556510177699244,0.0006487153656964977,0.0018811896920497033,0.002468660706654191,0.012006861063464836,6
20,0.0062933204939163235,0.005748416992231568,0.0007497396923633473,0.00266337953605287,0.003090602345764637,0.021808380298946335,6
100,0.011679812793986258,0.011679812793986258,0.0007731422582698722,0.003996718120072916,0.0038231273647397757,0.05635873560401862,6
5,0.00200522747692559,0.001494880077216791,0.0010998121375479866,0.0015766020091819602,0.0019153801258653402,0.00490075961774075,7
10,0.0034396720380547876,0.002847853876934352,0.0012568827797938313,0.002220606758243303,0.002591179683804512,0.010536633178142612,7
20,0.005212129967414405,0.004796829781620224,0.0013145334592340767,0.0027511206903331233,0.0030580880120396614,0.017887772604753736,7
100,0.009801214037773325,0.009801214037773325,0.0013655856202181682,0.003967265946941998,0.003722465131431818,0.0490075961774075,7
5,0.0009924038225925017,0.0004268114962837161,0.00032753410111900676,0.0007266868903704798,0.0011598465498536825,0.003430531732418525,8
10,0.003656122254505004,0.0031617607158321006,0.0006078432897839906,0.001731904387795406,0.0020904073026031256,0.011026709139916687,8
20,0.005220086891245921,0.004903570384638259,0.0006586024892163814,0.0022028547423817123,0.0025016970466822386,0.017152658662092625,8
100,0.008743835297298634,0.008743835297298634,0.0006912709698603029,0.003153761992778172,0.0030733023304492235,0.04288164665523156,8
5,0.0015804949767213917,0.0010039620219416837,0.00043535081270930327,0.001037212218204369,0.0015151515835896134,0.005390835579514825,9
10,0.0028502195618098584,0.002293023829382328,0.0005239372287889809,0.0015935653169774381,0.002269129268825054,0.011516785101690762,9
20,0.003695769875369819,0.0033102926846483266,0.0005433748900200887,0.001885897432234487,0.0027351772878319025,0.018132810585640775,9
100,0.009511105095396608,0.009511105095396608,0.0006421119672368356,0.0034082173763155697,0.0034366685431450605,0.050722862043616763,9
