,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.046117475904709944,0.0030072733300060407,0.02369279262896284,0.04623397563054519,0.09393526613712311,0.1905801054737225,0
10,0.04659635085167,0.00616590584036527,0.016936528944015154,0.046539306739220195,0.11079438030719757,0.3176941262047645,0
20,0.046805516475895606,0.012247619773170454,0.012354789704742018,0.046718984301657766,0.12160825729370117,0.4731769412620476,0
100,0.05575001048462159,0.05575001048462159,0.007380903309692708,0.04998802349818547,0.13010859489440918,0.8159665393707947,0
5,0.0464084378977996,0.003082725063213092,0.02277989937564406,0.04557177178199272,0.09200763702392578,0.1938534278959811,1
10,0.04700212448439399,0.0062858381213226336,0.016702338994638893,0.04632230744675838,0.10840131342411041,0.3176941262047645,1
20,0.047030607600753484,0.0122959391196982,0.012216769712395348,0.04657925843275643,0.11894503235816956,0.4708128750681942,1
100,0.05585814549947099,0.05585814549947099,0.007333901145662769,0.05000080806024306,0.12738960981369019,0.8126932169485361,1
5,0.04644480814693581,0.0030842620521154868,0.023673395162756867,0.046117389050592164,0.09246529638767242,0.18821603927986907,2
10,0.0462804925570883,0.006097819171699,0.017019106545448994,0.046146735332610274,0.1082860678434372,0.3076923076923077,2
20,0.04596303093788141,0.012124259774824057,0.012240770794342678,0.04597216929969381,0.11905329674482346,0.46153846153846156,2
100,0.05507408505696311,0.05507408505696311,0.007157334693178748,0.04930167110344641,0.12776634097099304,0.8148754318967085,2
5,0.04673577014002546,0.002992639753795499,0.024096502394374733,0.046909687724330976,0.09542947262525558,0.19203491543917076,3
10,0.045794689943626114,0.005963337307963272,0.017112130055392468,0.04622246930145501,0.11054253578186035,0.3064193489725405,3
20,0.04545723683041501,0.011855582042680692,0.012324584115152543,0.04582375872233699,0.12083750218153,0.45717403164211673,3
100,0.054570281298978236,0.054570281298978236,0.007276863220677532,0.0493307279440314,0.12973278760910034,0.8110565557374068,3
5,0.04706310238225132,0.0031081908701184996,0.02391950051524519,0.04645387281063801,0.09215615689754486,0.18857974177123113,4
10,0.04747298931696095,0.00633591217695367,0.017227160246410498,0.04690315458938758,0.10886509716510773,0.3153300600109111,4
20,0.04672530973769533,0.012347144129984236,0.012309922312262512,0.0465454849183918,0.119721919298172,0.4728132387706856,4
100,0.05508995527574761,0.05508995527574761,0.007302781482594938,0.049698160325334,0.1281401813030243,0.8110565557374068,4
5,0.04597199490816512,0.002912200103229929,0.02364248045099109,0.04592499213383988,0.09283202886581421,0.18803418803418803,5
10,0.047535915621022,0.006155124542300665,0.01724556701507056,0.04704259745180409,0.10982126742601395,0.31569376250227316,5
20,0.047537769414685405,0.012312770076753497,0.012568174450302411,0.047208054885649844,0.1205388531088829,0.4702673213311511,5
100,0.05572139594770297,0.05572139594770297,0.007412868484110039,0.0500173307302531,0.12914203107357025,0.817239498090562,5
5,0.04680851063829787,0.0030758384071555415,0.023961932472570772,0.046468878766657576,0.09281384199857712,0.18857974177123113,6
10,0.04685599401911458,0.006193981586591404,0.01733880266189171,0.046618559312132074,0.10844092816114426,0.3066012002182215,6
20,0.04626379414208837,0.01198882651366792,0.012535738781648592,0.04625991275424806,0.11834561079740524,0.45099108928896164,6
100,0.055313058563278776,0.055313058563278776,0.007581491053492508,0.04989295882943603,0.1270550787448883,0.8046917621385706,6
5,0.04469903618839789,0.0028496843389371937,0.02270352185245802,0.04461021603623159,0.09086500108242035,0.18585197308601564,7
10,0.04594745942263673,0.005970944783782566,0.0167186631106478,0.04552768002602724,0.10695306956768036,0.30696490270958354,7
20,0.04556225807349006,0.011778845606475123,0.012068984199455844,0.04538281179710502,0.11750210076570511,0.4604473540643753,7
100,0.05457578082408865,0.05457578082408865,0.0072515629988291145,0.04919863320028187,0.1261667013168335,0.8039643571558465,7
5,0.04506273867975996,0.0029277558937904746,0.022939928471843365,0.04469351102001208,0.08943141251802444,0.18130569194398982,8
10,0.046322708024835686,0.006082574735640788,0.01679614392886936,0.04571489066773469,0.10620343685150146,0.3076923076923077,8
20,0.046552662559703244,0.012203545763951268,0.012303963858449656,0.04606560781304077,0.11674203723669052,0.45844699036188397,8
100,0.05380888489120257,0.05380888489120257,0.007117264103246238,0.0485213313141395,0.12522810697555542,0.8028732496817603,8
5,0.048845244589925445,0.0031649262907506135,0.024060132145238528,0.04766147580322364,0.09467479586601257,0.19894526277505,9
10,0.048308278272817286,0.006315498982234336,0.01750828513633872,0.04771252390481142,0.110650934278965,0.3187852336788507,9
20,0.046107676198131706,0.012005151260111403,0.012434324144068701,0.04633910016689728,0.1202516257762909,0.4593562465902891,9
100,0.05527780698785055,0.05527780698785055,0.007512555899512027,0.049862290867431054,0.12883217632770538,0.8063284233496999,9
