,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.17358156028368796,0.009411783721072807,0.11252364066193854,0.17178106563814485,0.2696956396102905,0.46897163120567376,0
10,0.17491134751773052,0.0188244118176795,0.09097194078577057,0.1735933678197051,0.2945971190929413,0.6569148936170213,0
20,0.1549645390070922,0.03304285154959588,0.06530039903097198,0.160421901889711,0.30729615688323975,0.8342198581560284,0
100,0.060790168659477575,0.060790168659477575,0.01835333930856642,0.08111147614104479,0.31154665350914,0.9618794326241135,0
5,0.16843971631205673,0.009023182275988006,0.10843085106382978,0.16830563743136087,0.2736554443836212,0.47429078014184395,1
10,0.1698581560283688,0.018075390555581834,0.08682961837217155,0.1696366021191111,0.29978013038635254,0.6693262411347518,1
20,0.15474290780141844,0.032801466725906336,0.06291073879430109,0.15940606057590917,0.3131234645843506,0.8554964539007093,1
100,0.06009637720501503,0.06009637720501503,0.017613321555126318,0.08009901315517531,0.3166276514530182,0.9618794326241135,1
5,0.15336879432624115,0.008222648420873379,0.09721040189125296,0.15314490716686843,0.25245270133018494,0.449468085106383,2
10,0.15895390070921983,0.016911331886507484,0.07798530198131262,0.15738590666169652,0.2796306610107422,0.651595744680851,2
20,0.14197695035460997,0.0301077908025068,0.05564947206905082,0.14633822193599436,0.2914528548717499,0.8156028368794326,2
100,0.05813234034433002,0.05813234034433002,0.01597676093505482,0.07598926944294428,0.2961864173412323,0.9583333333333334,2
5,0.16719858156028372,0.008922770236218682,0.11079491725768321,0.16880444409609743,0.27294623851776123,0.4654255319148936,3
10,0.16613475177304965,0.017679642556583774,0.08621777552628616,0.16786617950925628,0.2999219000339508,0.6640070921985816,3
20,0.15075354609929079,0.03185843667376215,0.0627098357897805,0.15666612552778386,0.3119069039821625,0.8359929078014184,3
100,0.06179775947932242,0.06179775947932242,0.018299011407382826,0.08140531157354068,0.31606167554855347,0.9627659574468085,3
5,0.15868794326241134,0.008465957900440062,0.10021867612293144,0.15654337812559935,0.25251179933547974,0.4530141843971631,4
10,0.16498226950354608,0.017582720943629893,0.0817305879207475,0.162103011560052,0.279498428106308,0.649822695035461,4
20,0.15097517730496454,0.03199025823121673,0.059861802412168603,0.15367217821160348,0.29310184717178345,0.8377659574468085,4
100,0.0623391180296828,0.0623391180296828,0.017595483286373788,0.0806864436354664,0.29699045419692993,0.9556737588652482,4
5,0.16648936170212766,0.008884062880298112,0.10915484633569741,0.16722670789284083,0.26861703395843506,0.4530141843971631,5
10,0.1697695035460993,0.018027879929632167,0.08717064899245751,0.16952695977713017,0.2951582372188568,0.649822695035461,5
20,0.15093085106382978,0.031843529100293325,0.06299651140746712,0.15664593308935543,0.30754122138023376,0.8218085106382979,5
100,0.061284314169309705,0.061284314169309705,0.018062361326047036,0.08084190454573983,0.3116750419139862,0.9539007092198581,5
5,0.15691489361702127,0.008373679413928805,0.09747044917257684,0.15446987216818667,0.25162526965141296,0.45390070921985815,6
10,0.16028368794326242,0.017089896737952512,0.07876164443318699,0.1581305867091859,0.27757513523101807,0.6453900709219859,6
20,0.14481382978723406,0.030720935355967854,0.05782651518409826,0.14834488748184468,0.28977951407432556,0.8156028368794326,6
100,0.058810624173622865,0.058810624173622865,0.01663686293567372,0.0769380760798168,0.2945309579372406,0.9539007092198581,6
5,0.15744680851063833,0.008366127488271997,0.10347813238770685,0.15807504930703808,0.25500887632369995,0.4352836879432624,7
10,0.16427304964539008,0.017571636653640046,0.08235622115276371,0.16273966629502856,0.28373754024505615,0.651595744680851,7
20,0.1516843971631206,0.03231528153105703,0.0609183402281014,0.15479109881869094,0.29725995659828186,0.8413120567375887,7
100,0.060726053593294624,0.060726053593294624,0.017562916987002034,0.07969663218869329,0.30121222138404846,0.9618794326241135,7
5,0.17216312056737587,0.00921942422500399,0.11714834515366429,0.17362852731682554,0.27192673087120056,0.4530141843971631,8
10,0.1726950354609929,0.01845980894728003,0.09207168890014635,0.1738407022254872,0.3009614646434784,0.6684397163120568,8
20,0.14951241134751775,0.0318205211539293,0.06395193849422717,0.15740738463393808,0.31241998076438904,0.8280141843971631,8
100,0.059006575826974716,0.059006575826974716,0.017842683207766285,0.07934089190679496,0.31655460596084595,0.9539007092198581,8
5,0.16046099290780141,0.008670235081432713,0.09944444444444445,0.15742619402780916,0.2537825107574463,0.4592198581560284,9
10,0.1644503546099291,0.017643810686702628,0.08022771726894068,0.1614504525139656,0.2823103368282318,0.6702127659574468,9
20,0.1499113475177305,0.03190709761663093,0.059397103114095164,0.15275688657823594,0.2950129210948944,0.848404255319149,9
100,0.06107174172953168,0.06107174172953168,0.01733783530988054,0.07959766730658008,0.29856327176094055,0.9601063829787234,9
