,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.07396963123644253,0.006909128947512111,0.0427584960231381,0.07398047242480447,0.13407447934150696,0.2472885032537961,0
10,0.07812639878800401,0.017093634444906167,0.03398453524576859,0.07681927593437536,0.15360800921916962,0.3915401301518438,0
20,0.0887069542731702,0.038834319651454965,0.028298092636377555,0.08161656622216587,0.16373631358146667,0.5422993492407809,0
100,0.27665688891216267,0.27665688891216267,0.0368937456653307,0.16138488032871562,0.17234496772289276,0.8774403470715835,0
5,0.07245119305856833,0.007015555775398309,0.04319233550253074,0.07202584673481278,0.12498192489147186,0.22885032537960953,1
10,0.07335889887408326,0.015736801727585892,0.032961384843163584,0.07284458815631127,0.14485806226730347,0.37418655097613884,1
20,0.08000781813045502,0.035139510253254194,0.026330546970599267,0.0756517050488281,0.15561333298683167,0.5325379609544468,1
100,0.25524859908883674,0.25524859908883674,0.03487126755508571,0.15399644303116805,0.16462178528308868,0.8622559652928417,1
5,0.06861894432393348,0.00768687056851381,0.037576524463726196,0.06726925206239345,0.1233188658952713,0.2386117136659436,2
10,0.06966351616568538,0.015772845421193595,0.028529649386869714,0.06828550979020603,0.14173294603824615,0.3774403470715835,2
20,0.08262616141058818,0.03861885262819526,0.02409976815198782,0.07458494766928497,0.15350520610809326,0.5488069414316703,2
100,0.2729730232684266,0.2729730232684266,0.03337698878378554,0.15537813915302745,0.16235430538654327,0.8893709327548807,2
5,0.06789587852494577,0.006571160934109061,0.03947939262472885,0.0679119269229976,0.12284888327121735,0.22668112798264642,3
10,0.06775126536514824,0.013922960524970246,0.029554711978790067,0.06774997605232302,0.14022527635097504,0.35357917570498915,3
20,0.08161645248985665,0.03547737671740547,0.025451450877812847,0.07509313845552945,0.15175391733646393,0.5216919739696312,3
100,0.260737530494156,0.260737530494156,0.03363851680898241,0.15295916597934944,0.16086024045944214,0.868763557483731,3
5,0.06673897324656544,0.007013170178295051,0.036928175463967226,0.06586450290159353,0.12064353376626968,0.23101952277657267,4
10,0.06377225148917123,0.014195699635680147,0.026505108189335026,0.06389968844656017,0.1354745477437973,0.3438177874186551,4
20,0.07950908945847766,0.039793726938383026,0.022066662060715895,0.07006976859763384,0.14697274565696716,0.5108459869848156,4
100,0.2656938074234981,0.2656938074234981,0.03082769588733319,0.1483455003118729,0.15590626001358032,0.8503253796095445,4
5,0.06493130874909617,0.007536096627865464,0.03631718486382261,0.0629739043403543,0.11003253608942032,0.21258134490238612,5
10,0.07152670178700549,0.018816365225205214,0.029239846336220676,0.06763944823521774,0.1305762231349945,0.36550976138828634,5
20,0.08169823716261665,0.0397297500231758,0.024620218557828435,0.07243466693833256,0.14063115417957306,0.5151843817787418,5
100,0.27429916307602714,0.27429916307602714,0.03419523017353341,0.1560625529507711,0.1503729224205017,0.886117136659436,5
5,0.06970354302241503,0.008231359762975708,0.0372113762352374,0.06892517675877333,0.13100144267082214,0.25379609544468545,6
10,0.07419343731708157,0.016229949253136564,0.02955317484911535,0.07217937107431119,0.14908628165721893,0.3882863340563991,6
20,0.08731343914344762,0.039667636483193616,0.0258022511148712,0.07827267559548694,0.15925373136997223,0.5379609544468547,6
100,0.2730128440711012,0.2730128440711012,0.034750235650354566,0.15822807395502572,0.16821247339248657,0.8850325379609545,6
5,0.07454808387563268,0.00960741989522221,0.04204266088214028,0.07287062580676824,0.12912148237228394,0.24837310195227766,7
10,0.07232422614743655,0.018749895651205405,0.03179776538236408,0.07143134655492439,0.1442890614271164,0.36225596529284165,7
20,0.081676806712946,0.039321736920660225,0.02588270283970852,0.0754073972051036,0.15506988763809204,0.5206073752711496,7
100,0.26716535500734756,0.26716535500734756,0.03438118873132628,0.1555000153350414,0.1640879064798355,0.8752711496746204,7
5,0.06644974692697035,0.007474478071143981,0.03833694866232827,0.0663299064922302,0.11928778141736984,0.2245119305856833,8
10,0.0755001205109665,0.01909602727230953,0.03134490238611713,0.07222599792554196,0.14007161557674408,0.3774403470715835,8
20,0.08788126822749194,0.04399103136101296,0.02596024118828376,0.07758324682226736,0.15105117857456207,0.5422993492407809,8
100,0.27499689232449515,0.27499689232449515,0.034867302359154154,0.15769923004248548,0.15989384055137634,0.8720173535791758,8
5,0.07498192335502529,0.008619683735153469,0.04107495782116172,0.07350597737664002,0.1332971751689911,0.2559652928416486,9
10,0.07541533243810901,0.018464319942326488,0.031117480976483144,0.07377374896526907,0.1507975161075592,0.3872017353579176,9
20,0.08639579677713563,0.038221877985911756,0.02635179882040747,0.08026929918155212,0.16147813200950623,0.5401301518438177,9
100,0.2596371889746444,0.2596371889746444,0.03449917574376669,0.15631310416902505,0.17028990387916565,0.8665943600867679,9
