,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.02721783557826289,0.007253551120042262,0.014198792382721783,0.025547937644378585,0.047329314053058624,0.10078959591267998,0
10,0.03007984429257072,0.011572137760457842,0.011548044283513064,0.027431018449961916,0.057784635573625565,0.1802136553646075,0
20,0.03789295606764643,0.0219541299405718,0.010154058177126231,0.03150771483178447,0.06610582023859024,0.30051091500232235,0
100,0.1356820370089696,0.1356820370089696,0.01286783521779801,0.06927960731685336,0.07428627461194992,0.6367858801672085,0
5,0.029849821953862835,0.005518044049575878,0.014999741962120042,0.02866026745323672,0.05577488988637924,0.12076172782164422,1
10,0.03319767913358252,0.010700886216331982,0.011817260733059286,0.030584038378722894,0.06646060198545456,0.20390153274500697,1
20,0.040150884599842715,0.021098653379154616,0.009799745097156492,0.033714920515802535,0.07420771569013596,0.3167673014398514,1
100,0.14198590777004869,0.14198590777004869,0.011988443803525083,0.07123477377868026,0.08240998536348343,0.6669763121226197,1
5,0.027821644217371114,0.0041425863801442964,0.014745316612478713,0.02789378978867472,0.05631677061319351,0.1133302368787738,2
10,0.03244476146241125,0.009282819668812205,0.011416158621677499,0.030357662550425803,0.06823719292879105,0.20575940548072458,2
20,0.03892282831659668,0.019086549925020544,0.009404343336406246,0.033670597816609284,0.07601376622915268,0.3200185787273572,2
100,0.14226771616251935,0.14226771616251935,0.011548759250951604,0.07252959002236384,0.08442085981369019,0.6688341848583372,2
5,0.03138256696082985,0.006452370630510185,0.015588584404190536,0.02990930168365391,0.057880476117134094,0.12261960055736182,3
10,0.03327767087637037,0.01146914146150669,0.012060158196529374,0.030862981157407973,0.06719546020030975,0.19507663725034835,3
20,0.040296509352772555,0.02239798379717423,0.009852713953422736,0.033735781422613444,0.0748574435710907,0.30562006502554573,3
100,0.13745832492620605,0.13745832492620605,0.012078717150710192,0.07077700475945013,0.08338561654090881,0.655829075708314,3
5,0.026815296485524075,0.0042273967453668486,0.014050162563864375,0.026935522528601808,0.055356867611408234,0.1072921504876916,4
10,0.030924549723899464,0.00956967747032386,0.01077685836423644,0.028943414731145835,0.06629693508148193,0.18950301904319555,4
20,0.039613096095932346,0.021158143848658877,0.00887000931050431,0.03255464786878862,0.07436686009168625,0.30747793776126336,4
100,0.13747425300778404,0.13747425300778404,0.011330054910532133,0.06944571898299275,0.08236056566238403,0.6483975847654435,4
5,0.024570366929865306,0.005073946251852825,0.01186716209939619,0.02355986306960419,0.04795634001493454,0.10218300046446818,5
10,0.028904113123806578,0.009645889349245549,0.009417379649904035,0.02606628277479302,0.05901658162474632,0.18671620993961913,5
20,0.03676487068603908,0.020608291911590776,0.007874064178813306,0.029548217190200485,0.06678349524736404,0.3032977241058987,5
100,0.1416355653601004,0.1416355653601004,0.010776878633279231,0.0694562790470292,0.07540655136108398,0.6632605666511844,5
5,0.02515869329617588,0.003814766975727049,0.012264024358775868,0.024513734435978693,0.04984517768025398,0.1063632141198328,6
10,0.028817486121248317,0.00812636652175912,0.00953333915235083,0.026786078389137585,0.060823582112789154,0.19275429633070135,6
20,0.03757186544660714,0.019659376386257286,0.008119471335719147,0.03124428323464874,0.06907989084720612,0.31305155596841616,6
100,0.13768536367262557,0.13768536367262557,0.01082170131128277,0.06911869440161562,0.07714004069566727,0.6516488620529494,6
5,0.025592196934509988,0.003804334876931324,0.013055168498735614,0.02552337464760693,0.05292614921927452,0.1063632141198328,7
10,0.028950191316656715,0.008526430749211741,0.009861175401161135,0.027221322709089824,0.06354697793722153,0.18810961449140734,7
20,0.03448537085171977,0.018123997103963455,0.007735480826510043,0.029409346129226695,0.0707811638712883,0.2940083604273107,7
100,0.13104281252517588,0.13104281252517588,0.01043840480466972,0.06716439422870864,0.07927386462688446,0.6460752438457965,7
5,0.027016566031893483,0.005219131495088522,0.012699592300149661,0.025366493012808817,0.049574241042137146,0.10915002322340919,8
10,0.031051541223394447,0.010410658137194754,0.01012939678116176,0.027848027959597167,0.06017812713980675,0.18996748722712495,8
20,0.03759199854726437,0.020322833261022577,0.008360243722054064,0.03104910784090209,0.0682636946439743,0.3088713423130516,8
100,0.14473040039126414,0.14473040039126414,0.011195383718163693,0.07091556917545433,0.07683233171701431,0.660473757547608,8
5,0.02762037467100171,0.0037770345648478173,0.013658461062083913,0.026769602424697662,0.05304226651787758,0.1137947050627032,9
10,0.031204705136428312,0.008675745345492005,0.010779047736656722,0.02889830455675551,0.06302280724048615,0.19089642359498374,9
20,0.04049884681306169,0.02161978380310949,0.008953919354919276,0.032876064267236015,0.07144840806722641,0.31305155596841616,9
100,0.13882406039102888,0.13882406039102888,0.01091791487422133,0.06899536551064049,0.07947193086147308,0.6530422666047375,9
