,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Run_id
5,0.0026396675518835446,0.0021365403744927776,0.0012058378860901728,0.0021755438917429063,0.003828395390883088,0.008302261326752327,0
10,0.0049671660222338895,0.004703176388762218,0.001388860781168835,0.00313045837357875,0.004987703170627356,0.01732543791410714,0
20,0.010235983139992093,0.010112334606170345,0.0017083459758129593,0.004901831503375153,0.006202416494488716,0.03549250248128973,0
100,0.06591353963373996,0.06591353963373996,0.0029071435639805034,0.01826981716585634,0.009030267596244812,0.1799907454599104,0
5,0.0027167328343929114,0.0021802606926335484,0.0012060316204237714,0.002200367151436317,0.003816547803580761,0.008547037205933635,1
10,0.005027469825345305,0.004744059945609562,0.0013813430999624688,0.0031431744781393275,0.004973812960088253,0.017580273075994527,1
20,0.010251856988017343,0.010116307959299287,0.0016944596788388464,0.004901541714489961,0.006181868724524975,0.03574733764317713,1
100,0.06531022723934639,0.06531022723934639,0.0028848995945508563,0.01816623006876587,0.009005540050566196,0.1796956731671987,1
5,0.002686499101370745,0.0021743249006880385,0.0012201183418725466,0.002186767402021476,0.0037764227017760277,0.008288848949810886,2
10,0.004796437640750122,0.004520562403937584,0.0013733565383928432,0.0030572098295054495,0.004878579173237085,0.01689288875774565,2
20,0.010094835454045534,0.009963927476150698,0.0016906423409272478,0.004816874924743521,0.006070264149457216,0.03485876767080662,2
100,0.06526182662657089,0.06526182662657089,0.002877950650822374,0.018077438751190916,0.008886936120688915,0.1789009898334183,2
5,0.0026562094834446555,0.002154566963294563,0.001196429662514791,0.002162652609055342,0.003769603557884693,0.008308967515223049,3
10,0.00481371139843403,0.004542877055278916,0.0013604650479345304,0.003051084043424986,0.0048758224584162235,0.01691636041739317,3
20,0.010297615064033072,0.01017477429206524,0.0016981326533210583,0.004887653864356071,0.0061119855381548405,0.03541202821964109,3
100,0.0660508268940008,0.0660508268940008,0.002902031487001324,0.018270060774632852,0.008928060531616211,0.17960849271707932,3
5,0.0026824195033843894,0.0021680666072903336,0.001235262219420526,0.0021976246673858597,0.0037826255429536104,0.008342498457576652,4
10,0.0048314668307660345,0.004563204781186942,0.0013898938736001312,0.003071597812625453,0.00488570611923933,0.016963303736688216,4
20,0.010295715833763222,0.010166775501834634,0.0017207403564693325,0.004893982653538847,0.0061235204339027405,0.03543549987928861,4
100,0.06578297809836021,0.06578297809836021,0.0029180794085376604,0.018236247100373595,0.008949566632509232,0.1796956731671987,4
5,0.002591103570374742,0.0020695434858669184,0.0011899423565844341,0.00215432888766459,0.0038170507177710533,0.00832237989216449,5
10,0.0048210349820338025,0.0045435749836591245,0.001358003288348005,0.0030618406685794203,0.004938220139592886,0.017020306338689343,5
20,0.010078848982831325,0.009951420267325655,0.00167288334836254,0.0048151578141889745,0.006133608520030975,0.0349962445344564,5
100,0.06543070783092049,0.06543070783092049,0.0028662554355766605,0.018134153892370327,0.008982116356492043,0.18021540277367956,5
5,0.0027769208759176305,0.002240534665311606,0.0012479303957247305,0.0022555411823620814,0.00393183808773756,0.008614099090640844,6
10,0.005061362688981457,0.0047890070700735456,0.0014158724522084973,0.003177814665793983,0.005078660789877176,0.0175232704739934,6
20,0.010527988009679622,0.010404151608155094,0.0017484116564549124,0.005007378426356816,0.006307894829660654,0.03597534805118163,6
100,0.06543030810855063,0.06543030810855063,0.002936456936869695,0.018228252845536513,0.009115069173276424,0.1794576034764881,6
5,0.0027571376199290046,0.0022374474274713283,0.0012168658404642474,0.0022082239448034486,0.0037858111318200827,0.008500093886638591,7
10,0.004988515386125301,0.004709764841321034,0.001384656880984285,0.0031188382115458313,0.004919131752103567,0.017295260065988895,7
20,0.010302185073082316,0.010170742612203364,0.0017043258553147678,0.004892332178458931,0.006120007485151291,0.035321494675286357,7
100,0.06578912812246068,0.06578912812246068,0.002905066751573815,0.018244013261482346,0.008937695994973183,0.1788305748544757,7
5,0.0026989614349455008,0.002155787044691103,0.0012339694153097815,0.002231626425675005,0.00393111165612936,0.008614099090640844,8
10,0.005026325515407841,0.004744544265294368,0.0014075030352219157,0.0031693281657789356,0.0050770677626132965,0.01760039164140669,8
20,0.010321117288140155,0.010191468357064,0.0017211621155597983,0.0049456465875125045,0.006304827984422445,0.03612288419753749,8
100,0.0658734172399324,0.0658734172399324,0.002921734022530507,0.018294875426226185,0.009125301614403725,0.1799572145175568,8
5,0.0027317099886441875,0.002210743861686636,0.0012805578654649177,0.00225594873082214,0.003924517426639795,0.008376029399930256,9
10,0.005009872733574415,0.004730040508340964,0.0014446310735172897,0.00317195390117895,0.0050493828020989895,0.017147723919633037,9
20,0.01041384738730142,0.01028690433300606,0.0017678039947598154,0.004966877448992159,0.006264429539442062,0.03539526274846428,9
100,0.06603147553428879,0.06603147553428879,0.0029701965907917055,0.018345770343362596,0.009089671075344086,0.17968896697872797,9
